smiles,tool,tSNE1,tSNE2
CCS(=O)(=O)N1CC(C1)(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,input,-402.8475,200.08159
CCS(=O)(=O)N1CC(CC#N)(c2ccc(C(F)(F)F)cc2)C1,GenMol,-528.5449,-674.07306
CCS(=O)(=O)N1CC(CC#N)(c2ccc(C(F)(F)F)cc2)C1,GenMol,-528.5449,-674.07306
CCS(=O)(=O)N1CC(CC#N)(c2cccc(C(F)(F)F)c2)C1,GenMol,1012.83344,926.0345
CCS(=O)(=O)N1CC(CC#N)(c2ccc(C(F)(F)F)cc2)C1,GenMol,-528.5449,-674.07306
CCS(=O)(=O)N1CC(CC#N)(c2ccc(C(F)(F)F)cc2)C1,GenMol,-528.5449,-674.07306
CCS(=O)(=O)N1CC(CC#N)(c2ccc(C(F)(F)F)cc2)C1,GenMol,-528.5449,-674.07306
CCS(=O)(=O)N1CC(CC#N)(c2cccc(C(F)(F)F)c2)C1,GenMol,1012.83344,926.0345
CCS(=O)(=O)N1CC(CC#N)(c2ccc(C(F)(F)F)cc2)C1,GenMol,-528.5449,-674.07306
CCS(=O)(=O)N1CC(CC#N)(c2ccc(C(F)(F)F)cn2)C1,GenMol,1284.1948,96.76
CCS(=O)(=O)N1CC(CC#N)(NC(=O)CCC(F)(F)F)C1,GenMol,-317.28168,984.56494
CCS(=O)(=O)N1CC(CC#N)(NC(=O)CCC(F)(F)F)C1,GenMol,-317.28168,984.56494
CCS(=O)(=O)N1CC(CC#N)(NC(=O)CCC(F)(F)F)C1,GenMol,-317.28168,984.56494
CCS(=O)(=O)N1CC(CC#N)(NC(=O)CCC(F)(F)F)C1,GenMol,-317.28168,984.56494
CCS(=O)(=O)N1CC(CC#N)(NC(=O)C2CCCCCC2)C1,GenMol,-1394.0521,-208.96565
CCS(=O)(=O)N1CC(CC#N)(OC(=O)c2ccccc2Cl)C1,GenMol,761.46246,-993.8137
CCS(=O)(=O)N1CC(CC#N)(OC(=O)c2ncccc2Cl)C1,GenMol,1144.7496,-509.54886
CCS(=O)(=O)N1CC(CC#N)(C(=O)Cc2ccc(Br)s2)C1,GenMol,168.15417,-1159.0541
CCS(=O)(=O)N1CC(CC#N)(NC(=O)CCC2CC2)C1,GenMol,-960.5705,272.39642
CCS(=O)(=O)N1CC(CC#N)(NC(=O)CCC2CC2)C1,GenMol,-960.5705,272.39642
CCS(=O)(=O)N1CC(CC#N)(OC(=O)c2ccccc2Br)C1,GenMol,-1175.5295,857.9647
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC(F)(F)F)C1,GenMol,476.69727,-384.42334
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC(F)(F)F)C1,GenMol,476.69727,-384.42334
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC(F)(F)F)C1,GenMol,476.69727,-384.42334
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC(F)(F)F)C1,GenMol,476.69727,-384.42334
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC(F)(F)F)C1,GenMol,476.69727,-384.42334
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC(C)(F)F)C1,GenMol,-21.163858,-94.12417
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC2CC2)C1,GenMol,402.07025,416.53137
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC2CC2)C1,GenMol,402.07025,416.53137
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC2CC2)C1,GenMol,402.07025,416.53137
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC2CC2)C1,GenMol,402.07025,416.53137
