smiles,tool,UMAP1,UMAP2
CCS(=O)(=O)N1CC(C1)(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,input,13.181317,14.593982
CCS(=O)(=O)N1CC(CC#N)(c2ccc(C(F)(F)F)cc2)C1,GenMol,12.654838,14.324104
CCS(=O)(=O)N1CC(CC#N)(c2ccc(C(F)(F)F)cc2)C1,GenMol,12.250453,14.5426
CCS(=O)(=O)N1CC(CC#N)(c2cccc(C(F)(F)F)c2)C1,GenMol,12.892175,13.874803
CCS(=O)(=O)N1CC(CC#N)(c2ccc(C(F)(F)F)cc2)C1,GenMol,13.112523,14.240641
CCS(=O)(=O)N1CC(CC#N)(c2ccc(C(F)(F)F)cc2)C1,GenMol,13.293238,14.959654
CCS(=O)(=O)N1CC(CC#N)(c2ccc(C(F)(F)F)cc2)C1,GenMol,12.73892,14.798941
CCS(=O)(=O)N1CC(CC#N)(c2cccc(C(F)(F)F)c2)C1,GenMol,12.555559,13.844864
CCS(=O)(=O)N1CC(CC#N)(c2ccc(C(F)(F)F)cc2)C1,GenMol,13.812698,14.501524
CCS(=O)(=O)N1CC(CC#N)(c2ccc(C(F)(F)F)cn2)C1,GenMol,13.520757,14.0181265
CCS(=O)(=O)N1CC(CC#N)(NC(=O)CCC(F)(F)F)C1,GenMol,7.783978,4.5943155
CCS(=O)(=O)N1CC(CC#N)(NC(=O)CCC(F)(F)F)C1,GenMol,7.509768,4.5488772
CCS(=O)(=O)N1CC(CC#N)(NC(=O)CCC(F)(F)F)C1,GenMol,7.347188,4.894996
CCS(=O)(=O)N1CC(CC#N)(NC(=O)CCC(F)(F)F)C1,GenMol,7.808888,5.187865
CCS(=O)(=O)N1CC(CC#N)(NC(=O)C2CCCCCC2)C1,GenMol,7.792426,4.222337
CCS(=O)(=O)N1CC(CC#N)(OC(=O)c2ccccc2Cl)C1,GenMol,12.262159,15.758741
CCS(=O)(=O)N1CC(CC#N)(OC(=O)c2ncccc2Cl)C1,GenMol,13.773279,15.6312685
CCS(=O)(=O)N1CC(CC#N)(C(=O)Cc2ccc(Br)s2)C1,GenMol,13.305984,15.681275
CCS(=O)(=O)N1CC(CC#N)(NC(=O)CCC2CC2)C1,GenMol,8.134542,4.9053564
CCS(=O)(=O)N1CC(CC#N)(NC(=O)CCC2CC2)C1,GenMol,7.5400376,5.048085
CCS(=O)(=O)N1CC(CC#N)(OC(=O)c2ccccc2Br)C1,GenMol,12.604549,15.9695425
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC(F)(F)F)C1,GenMol,14.010225,15.3876505
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC(F)(F)F)C1,GenMol,12.905752,15.511577
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC(F)(F)F)C1,GenMol,13.965199,16.330687
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC(F)(F)F)C1,GenMol,13.506455,16.09357
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC(F)(F)F)C1,GenMol,12.269232,15.365699
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC(C)(F)F)C1,GenMol,14.284846,15.984088
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC2CC2)C1,GenMol,12.955665,16.728495
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC2CC2)C1,GenMol,13.455539,16.689882
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC2CC2)C1,GenMol,13.153098,16.385416
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC2CC2)C1,GenMol,13.715318,16.940157
