smiles,tool
CC(C)NC1=NC2=CC(=C(C=C2N1[C@@H]3[C@H]([C@H]([C@@H](O3)CO)O)O)Cl)Cl,input
O=C(Cc1ccc(Cl)cc1)OC1OC(CO)C(O)C1O,GenMol
O=C(Cc1ccc(Cl)cc1)OC1OC(CO)C(O)C1O,GenMol
O=C(Cc1ccc(Cl)cc1)OC1OC(CO)C(O)C1O,GenMol
O=C(Cc1ccc(F)cc1)OC1OC(CO)C(O)C1O,GenMol
O=C(Cc1ccc(F)cc1)OC1OC(CO)C(O)C1O,GenMol
O=C(Cc1ccc(F)cc1)OC1OC(CO)C(O)C1O,GenMol
O=C(Cc1ccc(O)cc1)OC1OC(CO)C(O)C1O,GenMol
O=C(Cc1ccc(O)cc1)OC1OC(CO)C(O)C1O,GenMol
O=C(Cc1ccc(O)cc1)OC1OC(CO)C(O)C1O,GenMol
O=C(Cc1ccc(O)cc1)OC1OC(CO)C(O)C1O,GenMol
CC(=O)OCCC(=O)OC1OC(CO)C(O)C1O,GenMol
O=C(Cc1ccc(I)cc1)OC1OC(CO)C(O)C1O,GenMol
CC(=O)OCCC(=O)OC1OC(CO)C(O)C1O,GenMol
CC(=O)OCCC(=O)OC1OC(CO)C(O)C1O,GenMol
O=C(Cc1ccc(O)nc1)OC1OC(CO)C(O)C1O,GenMol
Nc1ccc(CC(=O)OC2OC(CO)C(O)C2O)cc1,GenMol
Nc1ccc(CC(=O)OC2OC(CO)C(O)C2O)cc1,GenMol
Nc1ccc(CC(=O)OC2OC(CO)C(O)C2O)cc1,GenMol
CC(C)OCCOC(=O)C1OC(CO)C(O)C1O,GenMol
NS(=O)(=O)OCC(=O)OC1OC(CO)C(O)C1O,GenMol
CS(=O)(=O)CCCCCC(=O)OC1OC(CO)C(O)C1O,GenMol
CS(=O)(=O)OCC(=O)OC1OC(CO)C(O)C1O,GenMol
CS(=O)(=O)OCC(=O)OC1OC(CO)C(O)C1O,GenMol
CS(=O)(=O)OCC(=O)OC1OC(CO)C(O)C1O,GenMol
[2H]S(=O)(=O)OCC(=O)OC1OC(CO)C(O)C1O,GenMol
O=C(O)CCCCCCCCCC(=O)OC1OC(CO)C(O)C1O,GenMol
NS(=O)(=O)CCCCCC(=O)OC1OC(CO)C(O)C1O,GenMol
NS(=O)(=O)CCCCOC(=O)C1OC(CO)C(O)C1O,GenMol
NS(=O)(=O)CCCCOC(=O)C1OC(CO)C(O)C1O,GenMol
O=C(C[C@@H](O)C(O)C(=O)O)OC1OC(CO)C(O)C1O,GenMol
