smiles,tool,UMAP1,UMAP2
CC(C)NC1=NC2=CC(=C(C=C2N1[C@@H]3[C@H]([C@H]([C@@H](O3)CO)O)O)Cl)Cl,input,-6.5444236,16.339739
O=C(Cc1ccc(Cl)cc1)OC1OC(CO)C(O)C1O,GenMol,-6.7952623,15.982647
O=C(Cc1ccc(Cl)cc1)OC1OC(CO)C(O)C1O,GenMol,-6.3346205,16.128119
O=C(Cc1ccc(Cl)cc1)OC1OC(CO)C(O)C1O,GenMol,-6.501525,16.762781
O=C(Cc1ccc(F)cc1)OC1OC(CO)C(O)C1O,GenMol,-7.708574,17.022583
O=C(Cc1ccc(F)cc1)OC1OC(CO)C(O)C1O,GenMol,-7.4582486,16.66422
O=C(Cc1ccc(F)cc1)OC1OC(CO)C(O)C1O,GenMol,-7.24843,17.04285
O=C(Cc1ccc(O)cc1)OC1OC(CO)C(O)C1O,GenMol,-7.962842,16.542141
O=C(Cc1ccc(O)cc1)OC1OC(CO)C(O)C1O,GenMol,-7.2970414,15.655119
O=C(Cc1ccc(O)cc1)OC1OC(CO)C(O)C1O,GenMol,-7.8300724,16.027641
O=C(Cc1ccc(O)cc1)OC1OC(CO)C(O)C1O,GenMol,-6.8556104,17.279324
CC(=O)OCCC(=O)OC1OC(CO)C(O)C1O,GenMol,-7.6895576,20.156996
O=C(Cc1ccc(I)cc1)OC1OC(CO)C(O)C1O,GenMol,-7.418812,16.032265
CC(=O)OCCC(=O)OC1OC(CO)C(O)C1O,GenMol,-7.926537,19.910994
CC(=O)OCCC(=O)OC1OC(CO)C(O)C1O,GenMol,-8.059077,20.28498
O=C(Cc1ccc(O)nc1)OC1OC(CO)C(O)C1O,GenMol,-7.8083577,15.4288025
Nc1ccc(CC(=O)OC2OC(CO)C(O)C2O)cc1,GenMol,-8.499904,16.65547
Nc1ccc(CC(=O)OC2OC(CO)C(O)C2O)cc1,GenMol,-8.722677,16.235603
Nc1ccc(CC(=O)OC2OC(CO)C(O)C2O)cc1,GenMol,-8.530175,15.761526
CC(C)OCCOC(=O)C1OC(CO)C(O)C1O,GenMol,-8.921021,18.558817
NS(=O)(=O)OCC(=O)OC1OC(CO)C(O)C1O,GenMol,-7.6541266,19.353657
CS(=O)(=O)CCCCCC(=O)OC1OC(CO)C(O)C1O,GenMol,-7.5546846,18.35563
CS(=O)(=O)OCC(=O)OC1OC(CO)C(O)C1O,GenMol,-7.1594415,20.12955
CS(=O)(=O)OCC(=O)OC1OC(CO)C(O)C1O,GenMol,-7.277394,19.627403
CS(=O)(=O)OCC(=O)OC1OC(CO)C(O)C1O,GenMol,-8.243947,19.586483
[2H]S(=O)(=O)OCC(=O)OC1OC(CO)C(O)C1O,GenMol,-6.8843336,19.708035
O=C(O)CCCCCCCCCC(=O)OC1OC(CO)C(O)C1O,GenMol,-7.7291675,17.836254
NS(=O)(=O)CCCCCC(=O)OC1OC(CO)C(O)C1O,GenMol,-8.217449,18.216589
NS(=O)(=O)CCCCOC(=O)C1OC(CO)C(O)C1O,GenMol,-8.788264,18.057726
NS(=O)(=O)CCCCOC(=O)C1OC(CO)C(O)C1O,GenMol,-8.615835,18.434566
O=C(C[C@@H](O)C(O)C(=O)O)OC1OC(CO)C(O)C1O,GenMol,-8.178647,16.029701
