smiles,tool
CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CC3(C[C@H]2C(=O)O)SCCS3,input
O=C(O)C1CC2(CN1c1ccc(F)cc1)SCCS2,GenMol
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol
O=C(O)C1CC2(CN1c1ccc(O)cc1)SCCS2,GenMol
O=C(O)C1CC2(CN1c1ccccc1C(=O)N1CCCC1)SCCS2,GenMol
O=C(O)C1CC2(CN1c1ccc(O)cc1)SCCS2,GenMol
O=C(O)C1CC2(CN1C(=O)c1cn[nH]c1-c1ccccc1)SCCS2,GenMol
O=C(O)C1CC2(CN1c1ccc(S)cc1)SCCS2,GenMol
CCN1CCN(C(=O)N2CC3(CC2C(=O)O)SCCS3)CC1,GenMol
CC(=O)N1CC2(CC1C(=O)O)SCCS2,GenMol
CNC(=O)N1CC2(CC1C(=O)O)SCCS2,GenMol
O=C(O)C1CC2(CN1c1ccccc1-c1nc3ccccc3[nH]1)SCCS2,GenMol
O=C(O)C1CC2(CN1c1ccc(-c3nc4ccccc4[nH]3)cc1)SCCS2,GenMol
O=CNN1CC2(CC1C(=O)O)SCCS2,GenMol
O=C(O)C1CC2(CN1)SCCS2,GenMol
O=C(O)C1CC2(CN1)SCCS2,GenMol
O=C(O)C1CC2(CN1)SCCS2,GenMol
NC(=O)C(=O)N1CC2(CC1C(=O)O)SCCS2,GenMol
NN1CC2(CC1C(=O)O)SCCS2,GenMol
NN1CC2(CC1C(=O)O)SCCS2,GenMol
O=C(O)C1CC2(CN1CC(O)=Nc1cccc(Cl)c1Cl)SCCS2,GenMol
