smiles,tool,UMAP1,UMAP2
CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CC3(C[C@H]2C(=O)O)SCCS3,input,11.288921,0.82958025
O=C(O)C1CC2(CN1c1ccc(F)cc1)SCCS2,GenMol,11.860608,0.023053728
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,10.829339,-0.053192567
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,12.338613,-0.14875446
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,12.128115,-1.2049541
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,10.770221,1.1907822
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,11.812447,0.9560632
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,11.335832,-0.029699756
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,11.779396,1.6282756
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,11.626415,-0.8269383
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,11.84193,0.5137512
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,12.311224,0.4586282
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,10.818503,0.6431539
O=C(O)C1CC2(CN1c1ccc(O)cc1)SCCS2,GenMol,10.120166,0.68084806
O=C(O)C1CC2(CN1c1ccccc1C(=O)N1CCCC1)SCCS2,GenMol,12.273284,-0.74474335
O=C(O)C1CC2(CN1c1ccc(O)cc1)SCCS2,GenMol,10.222601,1.1795079
O=C(O)C1CC2(CN1C(=O)c1cn[nH]c1-c1ccccc1)SCCS2,GenMol,11.736114,-0.48759797
O=C(O)C1CC2(CN1c1ccc(S)cc1)SCCS2,GenMol,10.155816,-0.16943811
CCN1CCN(C(=O)N2CC3(CC2C(=O)O)SCCS3)CC1,GenMol,12.316538,1.549721
CC(=O)N1CC2(CC1C(=O)O)SCCS2,GenMol,10.522849,0.28072178
CNC(=O)N1CC2(CC1C(=O)O)SCCS2,GenMol,11.358126,0.40567273
O=C(O)C1CC2(CN1c1ccccc1-c1nc3ccccc3[nH]1)SCCS2,GenMol,10.417066,-1.0609132
O=C(O)C1CC2(CN1c1ccc(-c3nc4ccccc4[nH]3)cc1)SCCS2,GenMol,10.729594,-0.7620158
O=CNN1CC2(CC1C(=O)O)SCCS2,GenMol,11.432065,-1.3245678
O=C(O)C1CC2(CN1)SCCS2,GenMol,13.102779,0.28418973
O=C(O)C1CC2(CN1)SCCS2,GenMol,12.79091,0.5702089
O=C(O)C1CC2(CN1)SCCS2,GenMol,12.866215,-0.22350441
NC(=O)C(=O)N1CC2(CC1C(=O)O)SCCS2,GenMol,11.225113,-0.49709347
NN1CC2(CC1C(=O)O)SCCS2,GenMol,11.34083,1.3243328
NN1CC2(CC1C(=O)O)SCCS2,GenMol,11.119794,1.7405933
O=C(O)C1CC2(CN1CC(O)=Nc1cccc(Cl)c1Cl)SCCS2,GenMol,12.287825,0.9916615
