smiles,tool,UMAP1,UMAP2
CCS(=O)(=O)N1CC(C1)(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,input,2.356542,4.8582253
CCN1C(Nc2csc3ncnc-3n2)=C(C#N)CC1(C)C,MolMin,2.7591326,4.6389337
CC(C)N1CCC(C#N)(CN2CCc3ccsc3N=C2N)CC1,MolMin,1.6606714,4.6116285
CC1=C(Cn2c(C)c(C#N)c(C#N)c2C)NN2CC=CC2=N1,MolMin,1.3216372,4.05895
CC(C)(C)OC(=O)N1CCC2(CCN(Cc3c[nH]c4ncnc-4n3)CC2)C1,MolMin,2.932871,5.476808
N#CC12CCC(CCNC3=NC=NC4=NCCN43)(CC1)CC2,MolMin,2.2156215,4.5031285
CCn1c(C)c(C#N)c(C#N)nc1=Nc1ccn2c1CCC2,MolMin,0.9477585,3.9433959
CC1=NS(=O)(=O)CCC12CCN(Cc1[nH]c(N)c(C)c1C#N)CC2,MolMin,1.0988816,4.5397806
NC1CCC2(CC1)CCN(Cc1[nH]c(=S)n3c1CCC=N3)CC2,MolMin,1.7060724,5.6371613
CC1=CCC2=C(N3CC(C)(C)C(C)(C)C3(C#N)C#N)NC=CN12,MolMin,0.5687005,3.0738382
Cc1c(C#N)c(CN2CCCN3CCS(=O)(=O)N=C32)c(C)n1C,MolMin,1.7252493,4.09919
COC(=O)C1(C#N)C(C)=C(C)C(C#N)=C(N)n2c1nc1cccn12,MolMin,0.22109593,3.9812994
Cc1nc(CNC(=O)C2=CN3C(=CC3=NS(C)(=O)=O)N2)c(C)n1C(C)C,MolMin,3.0398567,4.0330167
CCOC(=O)C1=C(C)NCC12CCN(CC1=CSC3=NCCN13)CC2,MolMin,1.9749309,3.833212
CN1C(N)=C(C#N)C2=NCCC2=C1C(=O)N1CCC2(CCSC2)CC1,MolMin,2.4835784,4.0509014
CC(C)c1c(C#N)c2n(c(=N)c1NS(=O)(=O)N(C)C)CCN2,MolMin,1.9546257,2.678952
CN1C=N[SH]2C(CN3CCC4(CC3)CCN(S(C)(=O)=O)CC4)=CN=C12,MolMin,2.4734159,5.4251075
Cc1cnc2c(C#N)c(Nc3[nH]c(C)c(C)c3C#N)sc2c1C#N,MolMin,0.75786936,5.166029
Cn1c(C#N)csc1=NC1=CCN(NC2=C3CCCN=C3NN2)CC1,MolMin,1.7933519,5.174256
CS(=O)(=O)N1CCC2(CCN(C(=O)C3=CNN4C=NC=CN34)CC2)CC1,MolMin,3.5079708,3.7376
CC1(C)CCN(c2c(N)[nH]c3c2CCC(C#N)=C2CCCN23)C(=N)S1,MolMin,1.7033993,3.2749915
CNC(=S)N1CCCC2(CCN(S(C)(=O)=O)CC2)C1=N,MolMin,3.4507244,4.3185782
CS(=O)(=O)CC1(CNC2=C(C#N)C(=S)N3CCCN=C3N2)CC1,MolMin,2.219757,3.3439128
N#CC1(S(N)(=O)=O)CCN(C(=O)C2=CNN3C=CSC3=N2)CC1,MolMin,2.7492929,3.5816305
CC1=C(C)C(C#N)=C(NC(=O)c2c(C)cn3[nH]ccc23)S(=N)(=O)N1,MolMin,0.5490401,4.5405436
CC1(C)CCC2=C1CCN1C(=N)NC3=NS(=O)(=O)CCN3C1=CC2,MolMin,3.1600792,3.02634
CC(=O)N1CC2(CCN(C(=O)C3=CN4CCS(=O)(=O)N=C4N3)CC2)C1,MolMin,2.6325078,2.8900723
CSC1(CN2C(=O)C3=C(NC(C)=C2C#N)C(=N)NS3(=O)=O)CCN(C)CC1,MolMin,1.2769129,3.000306
CCn1c(SC)nn2c3c(=O)n(C)c(C)c(C(=O)OC)c3nc12,MolMin,3.377949,4.8661346
NC(=O)C1(C(N)=S)CCN(Cc2nc3c([nH]2)S(=O)(=O)NCC3)CC1,MolMin,1.2935926,5.0188584
Cc1[nH]c(CS(C)(=O)=O)c2c1C(N)=C(N1C=N[SH]=C1)C(C#N)=C(N)N2,MolMin,0.73657024,3.5453403
