smiles,tool
CC(C)NC1=NC2=CC(=C(C=C2N1[C@@H]3[C@H]([C@H]([C@@H](O3)CO)O)O)Cl)Cl,input
CC[C@H](C)NC(=O)c1c2c(c(Cl)n1C)CN(C(C)(C)C)C2,MolMin
C[C@H](O)[C@H]1CCCN1C(=O)c1c2ccn-2cc(Cl)n1C,MolMin
Cc1cc2c(C(=O)N3CCC[C@@H]([C@@H](C)O)C3)nc(Cl)n2cc1[O],MolMin
C[C@@H](O)[C@H]1CCCN1C(=O)c1nc(Cl)sc2ncc(Cl)c1-2,MolMin
C[C@H](O)[C@H]1CCCN1C(=O)c1c(Cl)cn2c1CN(C)CC2,MolMin
CC[C@H](C)[C@H](O)CNC(=O)c1ncn2c(Cl)csc12,MolMin
C[C@H](CO)[C@@H]1CCCN1C(=O)c1ncn2c(Cl)ccc(Cl)c12,MolMin
CC(C)[C@@H](C)NC(=O)C1=CN=C2N=NC(C(F)(F)F)=C12,MolMin
C[C@H](O)[C@@H]1CCCN(C(=O)c2ncn3c2C(Cl)=C=C3Cl)C1,MolMin
C[C@H](O)[C@@H]1CCCN(C(=O)C2=C3CC(Cl)=N[C@H]3SC=N2)C1,MolMin
CC1=Nc2c(Cl)c(Cl)nc(C(=O)N3CCC[C@@H]3[C@H](C)O)c2C1,MolMin
C[C@@H]1CCCCN1C(=O)c1c(N)nc(Cl)c(Cl)c1Cl,MolMin
C[C@H](O)[C@H]1CCCCN1C(=O)C1=CN2C=C(Cl)CN=C2N1,MolMin
C[C@H](O)[C@@H](C)N1CCC2=NCC3=C(CN(C)C3)N2CC1,MolMin
C[C@@H](O)[C@@H]1CCCN1C(=O)C1=C2CN(C)CCN2C=CN1C,MolMin
CC[C@H](C)[C@H](C)NC(=O)C1=C(Cl)N=C2N(C)C=C(Cl)[C@]21O,MolMin
CC[C@H](O)[C@H](C)NC(=O)C1=C(Cl)N=C2SC=CN2[C@H]1c1cccs1,MolMin
C[C@@H]1[C@H](O)CCCN1C1=C2CCC(Cl)=C2C(N)=N1,MolMin
C[C@@H](O)[C@@H]1CCCN(C(=O)C2=C(Cl)N=C3[C@@H]2C(Cl)=C(Cl)N3C)C1,MolMin
C=C(Cl)Cn1cc(Br)cc2c(C(=O)N(C)C(C)C)c(Cl)nc1-2,MolMin
CC[C@H](O)[C@H](C)C(=O)N1CCN2CCC2=C1C(=O)N(C)CC(C)(C)O,MolMin
CC1=C(C(=O)O)C[C@@H]([C@H](C)O)N=C=C2SC(C(F)(F)Cl)=NN(C)C2=N1,MolMin
CC(C)[C@H]1CCCN1C(=O)c1c2sc(N)nc2c(Cl)n1-c1ccccc1,MolMin
C[C@@H](O)[C@H]1CCCN1C(=O)C1=C2[C@H](O)C(C(F)(F)F)=CN2C=C(Cl)N1C,MolMin
N#Cc1c2[nH]c(N)c3c(c-2c(N)c1Cl)CCCC3,MolMin
C[C@@H](O)C1CCN(C(=O)C(=O)c2ncn3c2CC(Cl)=N3)CC1,MolMin
C[C@H](O)C1(C(=O)N2CCc3nc(Cl)nc(Cl)c3CC2)CCCC1,MolMin
CN(C)C(=O)C1=C2C(Cl)=C=C(Cl)N=C2[C@H](O)CC1,MolMin
C=C(C)[C@@H](CO)NC(=O)c1ncn2c1ccc1c(Cl)nc(C(F)(F)F)cc12,MolMin
