smiles,tool,tSNE1,tSNE2
CC(C)NC1=NC2=CC(=C(C=C2N1[C@@H]3[C@H]([C@H]([C@@H](O3)CO)O)O)Cl)Cl,input,-62.004414,85.67147
CC[C@H](C)NC(=O)c1c2c(c(Cl)n1C)CN(C(C)(C)C)C2,MolMin,-14.026646,46.37945
C[C@H](O)[C@H]1CCCN1C(=O)c1c2ccn-2cc(Cl)n1C,MolMin,8.195561,22.40368
Cc1cc2c(C(=O)N3CCC[C@@H]([C@@H](C)O)C3)nc(Cl)n2cc1[O],MolMin,-66.222664,-19.700598
C[C@@H](O)[C@H]1CCCN1C(=O)c1nc(Cl)sc2ncc(Cl)c1-2,MolMin,-17.454744,0.33035088
C[C@H](O)[C@H]1CCCN1C(=O)c1c(Cl)cn2c1CN(C)CC2,MolMin,2.6841574,6.695838
CC[C@H](C)[C@H](O)CNC(=O)c1ncn2c(Cl)csc12,MolMin,-69.271835,22.24009
C[C@H](CO)[C@@H]1CCCN1C(=O)c1ncn2c(Cl)ccc(Cl)c12,MolMin,16.032574,49.258266
CC(C)[C@@H](C)NC(=O)C1=CN=C2N=NC(C(F)(F)F)=C12,MolMin,-14.851316,83.12363
C[C@H](O)[C@@H]1CCCN(C(=O)c2ncn3c2C(Cl)=C=C3Cl)C1,MolMin,-47.79449,-22.10116
C[C@H](O)[C@@H]1CCCN(C(=O)C2=C3CC(Cl)=N[C@H]3SC=N2)C1,MolMin,-49.461704,-40.325314
CC1=Nc2c(Cl)c(Cl)nc(C(=O)N3CCC[C@@H]3[C@H](C)O)c2C1,MolMin,-12.968689,18.395473
C[C@@H]1CCCCN1C(=O)c1c(N)nc(Cl)c(Cl)c1Cl,MolMin,-34.492947,21.530857
C[C@H](O)[C@H]1CCCCN1C(=O)C1=CN2C=C(Cl)CN=C2N1,MolMin,37.65561,25.796911
C[C@H](O)[C@@H](C)N1CCC2=NCC3=C(CN(C)C3)N2CC1,MolMin,32.014194,-71.528755
C[C@@H](O)[C@@H]1CCCN1C(=O)C1=C2CN(C)CCN2C=CN1C,MolMin,7.6126213,-11.070469
CC[C@H](C)[C@H](C)NC(=O)C1=C(Cl)N=C2N(C)C=C(Cl)[C@]21O,MolMin,-99.023705,1.2759875
CC[C@H](O)[C@H](C)NC(=O)C1=C(Cl)N=C2SC=CN2[C@H]1c1cccs1,MolMin,-100.1661,43.094616
C[C@@H]1[C@H](O)CCCN1C1=C2CCC(Cl)=C2C(N)=N1,MolMin,62.8557,54.740196
C[C@@H](O)[C@@H]1CCCN(C(=O)C2=C(Cl)N=C3[C@@H]2C(Cl)=C(Cl)N3C)C1,MolMin,-47.994938,-4.951999
C=C(Cl)Cn1cc(Br)cc2c(C(=O)N(C)C(C)C)c(Cl)nc1-2,MolMin,-16.307638,-71.432045
CC[C@H](O)[C@H](C)C(=O)N1CCN2CCC2=C1C(=O)N(C)CC(C)(C)O,MolMin,14.518099,-38.291134
CC1=C(C(=O)O)C[C@@H]([C@H](C)O)N=C=C2SC(C(F)(F)Cl)=NN(C)C2=N1,MolMin,-59.97234,-78.34637
CC(C)[C@H]1CCCN1C(=O)c1c2sc(N)nc2c(Cl)n1-c1ccccc1,MolMin,53.109467,-27.495132
C[C@@H](O)[C@H]1CCCN1C(=O)C1=C2[C@H](O)C(C(F)(F)F)=CN2C=C(Cl)N1C,MolMin,27.799683,0.6628179
N#Cc1c2[nH]c(N)c3c(c-2c(N)c1Cl)CCCC3,MolMin,-46.732594,49.141884
C[C@@H](O)C1CCN(C(=O)C(=O)c2ncn3c2CC(Cl)=N3)CC1,MolMin,-20.594759,-31.933807
C[C@H](O)C1(C(=O)N2CCc3nc(Cl)nc(Cl)c3CC2)CCCC1,MolMin,73.16844,6.9140987
CN(C)C(=O)C1=C2C(Cl)=C=C(Cl)N=C2[C@H](O)CC1,MolMin,-90.856834,-43.76158
C=C(C)[C@@H](CO)NC(=O)c1ncn2c1ccc1c(Cl)nc(C(F)(F)F)cc12,MolMin,28.411432,87.31131
