smiles,tool,UMAP1,UMAP2
CC(C)NC1=NC2=CC(=C(C=C2N1[C@@H]3[C@H]([C@H]([C@@H](O3)CO)O)O)Cl)Cl,input,4.2418756,13.035823
CC[C@H](C)NC(=O)c1c2c(c(Cl)n1C)CN(C(C)(C)C)C2,MolMin,5.1803784,12.769944
C[C@H](O)[C@H]1CCCN1C(=O)c1c2ccn-2cc(Cl)n1C,MolMin,5.1122,13.302126
Cc1cc2c(C(=O)N3CCC[C@@H]([C@@H](C)O)C3)nc(Cl)n2cc1[O],MolMin,5.5041876,13.623084
C[C@@H](O)[C@H]1CCCN1C(=O)c1nc(Cl)sc2ncc(Cl)c1-2,MolMin,3.551889,13.491823
C[C@H](O)[C@H]1CCCN1C(=O)c1c(Cl)cn2c1CN(C)CC2,MolMin,4.41768,12.269409
CC[C@H](C)[C@H](O)CNC(=O)c1ncn2c(Cl)csc12,MolMin,5.3784704,12.342844
C[C@H](CO)[C@@H]1CCCN1C(=O)c1ncn2c(Cl)ccc(Cl)c12,MolMin,3.4908507,12.876055
CC(C)[C@@H](C)NC(=O)C1=CN=C2N=NC(C(F)(F)F)=C12,MolMin,4.6507874,12.580347
C[C@H](O)[C@@H]1CCCN(C(=O)c2ncn3c2C(Cl)=C=C3Cl)C1,MolMin,6.4443536,13.077247
C[C@H](O)[C@@H]1CCCN(C(=O)C2=C3CC(Cl)=N[C@H]3SC=N2)C1,MolMin,6.3148923,13.64036
CC1=Nc2c(Cl)c(Cl)nc(C(=O)N3CCC[C@@H]3[C@H](C)O)c2C1,MolMin,4.0413036,13.345246
C[C@@H]1CCCCN1C(=O)c1c(N)nc(Cl)c(Cl)c1Cl,MolMin,4.6558323,14.49608
C[C@H](O)[C@H]1CCCCN1C(=O)C1=CN2C=C(Cl)CN=C2N1,MolMin,4.3117747,13.663535
C[C@H](O)[C@@H](C)N1CCC2=NCC3=C(CN(C)C3)N2CC1,MolMin,5.0138545,11.549859
C[C@@H](O)[C@@H]1CCCN1C(=O)C1=C2CN(C)CCN2C=CN1C,MolMin,4.438546,11.605755
CC[C@H](C)[C@H](C)NC(=O)C1=C(Cl)N=C2N(C)C=C(Cl)[C@]21O,MolMin,6.244349,12.552941
CC[C@H](O)[C@H](C)NC(=O)C1=C(Cl)N=C2SC=CN2[C@H]1c1cccs1,MolMin,5.8786106,12.030755
C[C@@H]1[C@H](O)CCCN1C1=C2CCC(Cl)=C2C(N)=N1,MolMin,5.2780943,14.241925
C[C@@H](O)[C@@H]1CCCN(C(=O)C2=C(Cl)N=C3[C@@H]2C(Cl)=C(Cl)N3C)C1,MolMin,5.8615327,12.881781
C=C(Cl)Cn1cc(Br)cc2c(C(=O)N(C)C(C)C)c(Cl)nc1-2,MolMin,4.227597,14.182365
CC[C@H](O)[C@H](C)C(=O)N1CCN2CCC2=C1C(=O)N(C)CC(C)(C)O,MolMin,4.8454494,12.1223545
CC1=C(C(=O)O)C[C@@H]([C@H](C)O)N=C=C2SC(C(F)(F)Cl)=NN(C)C2=N1,MolMin,5.860356,13.299339
CC(C)[C@H]1CCCN1C(=O)c1c2sc(N)nc2c(Cl)n1-c1ccccc1,MolMin,3.5456185,13.921321
C[C@@H](O)[C@H]1CCCN1C(=O)C1=C2[C@H](O)C(C(F)(F)F)=CN2C=C(Cl)N1C,MolMin,3.4771583,12.186798
N#Cc1c2[nH]c(N)c3c(c-2c(N)c1Cl)CCCC3,MolMin,4.8609385,13.748314
C[C@@H](O)C1CCN(C(=O)C(=O)c2ncn3c2CC(Cl)=N3)CC1,MolMin,4.0133424,12.566963
C[C@H](O)C1(C(=O)N2CCc3nc(Cl)nc(Cl)c3CC2)CCCC1,MolMin,4.646947,13.064346
CN(C)C(=O)C1=C2C(Cl)=C=C(Cl)N=C2[C@H](O)CC1,MolMin,5.8961678,14.210794
C=C(C)[C@@H](CO)NC(=O)c1ncn2c1ccc1c(Cl)nc(C(F)(F)F)cc12,MolMin,3.9675431,12.0089445
