smiles,tool
CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CC3(C[C@H]2C(=O)O)SCCS3,input
Cc1nc2ccccc2cc1C[C@H](C)N1C[C@H](C)OC2(CCOCC2)C1,MolMin
N=c1[nH]n(C[C@@H]2CCCO2)c(=NC(=O)C2CCC3(CC2)COc2ccccc2O3)s1,MolMin
C=CC[C@@H](NC(C)=O)C(=O)N1CCC2(CC1)CNC(=O)c1ccccc1O2,MolMin
CC[C@@H]1NC(=O)N(CC2CC2)C(C)=C1C(=O)N1CC[C@@H](COC)O[C@H](C)C1,MolMin
COC[C@@H]1OCCN(C[C@H](C)CN2CCC3(C=Cc4ccccc4N=C3)CC2)C1=O,MolMin
CO[C@@H]1C[C@@H](NC(=O)OC(C)(C)C)C2(CCN([C@@H](C)c3cc4ccccc4c(=O)[nH]3)CC2)C1,MolMin
C=CC[C@@H](NC(C)=O)C(=O)N1CCC2(CC1)C[C@@H](OC)CS2(=O)=O,MolMin
C=CC[C@H](CC[C@@H](C)N1CCC2(CC1)C[C@@H](OC)CO2)NC,MolMin
CCOC(=O)C1=C(CN2CCC3(CC2)C[C@@H](OCC)C[C@H]3O)C=CN[C@H]1C,MolMin
C=CC[C@H](C=C)CC(=O)N1CCC2(C1)CN(C(=O)[C@@H]1CCO[C@H](C)C1)C2,MolMin
COC[C@@H](C)N1C(=O)C2(CCCC2)N=C1NC(=O)[C@@H](C)N1C[C@@H](C)OC2(CCOCC2)C1,MolMin
COC[C@H](C)N1CCC2(CC1)CN([C@@H](C)CC1=C(C)O[C@H](C)C1)Cc1ccccc12,MolMin
C[C@H](CC(=O)N1C[C@@H](F)C2(CCOCC2)C1)NC(=O)C[C@@H]1C(=O)Nc2ccccc2C1=O,MolMin
CCOC[C@@H]1CCCN(C(=O)C[C@@H](C)N2CCC3(CC2)C[C@H](OCC)CCO3)C1,MolMin
CCOC(=O)C1=C(C[C@H](C)N2CCC3(CC2)C[C@@H](OC(F)(F)F)CO3)NC(=O)N[C@H]1C,MolMin
CC(C)=CC[C@@H](CC1CC1)CN1C[C@H](OCC2CC2)OC[C@@H]1C,MolMin
COc1ccc(N2CCN(C(=O)C[C@@H](C)CC(=O)N3CCC(c4ccc5c(c4)OCCO5)=N3)CC2)cc1,MolMin
COC(=O)[C@@H]1CN(C(=O)C(=O)N[C@@H](C)CC(=O)N2c3ccccc3C[C@H]2C)CCO1,MolMin
CCOC(=O)C1=C2CN[C@H](C)C(C(=O)O[C@@H](C)C(=O)N3CCO[C@H](C)C3)=C2C(=O)N[C@@H]1C,MolMin
COc1cc2c(cc1OC)C(=O)C(N1CCN(C(=O)CCc3c(C)oc4ccccc34)CC1)=C2,MolMin
C[C@H](CC(=O)N1CCC[C@H](C2OCCO2)C1)N1C(=O)c2ccccc2C1=C[N+](=O)[O-],MolMin
C=CCC(CC=C)NC(=O)C[C@H](NC(C)=O)C(=O)N1CCC2(CC1)C[C@H](OC)CCO2,MolMin
CCOC(=O)C1=C(C[C@H](C)N2CCC3(CC2)CO[C@H](C)C3)NC(=S)N[C@H]1c1ccco1,MolMin
CCOC(=O)[C@@H]1CC[C@@H]2C(=O)C(=O)N([C@@H](C)CCc3c(C)oc4ccccc34)C(=O)N2C1,MolMin
CCOC(=O)[C@H](CCC(=O)N[C@@H](C)CC)NC(=O)[C@H](C)N1CCOC2(CCOCC2)C1,MolMin
C=CCC(CC=C)N1C(=O)N(C[C@@H](C)N2C[C@H]3COC[C@@H](C2)O3)C(=O)C12CCCC2,MolMin
COc1cc(S(=O)(=O)N2CCC3(CCN(C(=O)CCn4c(=O)oc5ccccc54)CC3)CC2)ccc1[N+](=O)[O-],MolMin
