smiles,tool,UMAP1,UMAP2
CC(C)NC1=NC2=CC(=C(C=C2N1[C@@H]3[C@H]([C@H]([C@@H](O3)CO)O)O)Cl)Cl,input,-2.6583848,4.7148767
O=C(Cc1ccc(Cl)cc1)OC1OC(CO)C(O)C1O,GenMol,6.37312,1.7367085
O=C(Cc1ccc(Cl)cc1)OC1OC(CO)C(O)C1O,GenMol,6.439235,1.656902
O=C(Cc1ccc(Cl)cc1)OC1OC(CO)C(O)C1O,GenMol,5.668787,1.9818603
O=C(Cc1ccc(Cl)cc1)OC1OC(CO)C(O)C1O,GenMol,6.2228193,0.8826722
O=C(Cc1ccc(Cl)cc1)OC1OC(CO)C(O)C1O,GenMol,6.704918,1.0440828
O=C(Cc1ccc(Cl)cc1)OC1OC(CO)C(O)C1O,GenMol,6.026676,1.1531606
O=C(Cc1ccc(Cl)cc1)OC1OC(CO)C(O)C1O,GenMol,7.14521,1.5893687
O=C(Cc1ccc(Br)cc1)OC1OC(CO)C(O)C1O,GenMol,7.4692473,1.8469845
O=C(Cc1ccc(F)cc1)OC1OC(CO)C(O)C1O,GenMol,6.7556486,1.9366748
O=C(Cc1ccc(F)cc1)OC1OC(CO)C(O)C1O,GenMol,6.7405066,2.029603
O=C(Cc1ccc(O)cc1)OC1OC(CO)C(O)C1O,GenMol,5.223597,1.4028933
O=C(Cc1ccc(O)cc1)OC1OC(CO)C(O)C1O,GenMol,5.3429894,1.2270269
O=C(Cc1ccc(O)cc1)OC1OC(CO)C(O)C1O,GenMol,5.341062,1.6485251
O=C(Cc1ccc(O)cc1)OC1OC(CO)C(O)C1O,GenMol,4.968138,1.2728654
O=C(Cc1ccc(O)cc1)OC1OC(CO)C(O)C1O,GenMol,5.089114,1.8517791
O=C(Cc1ccc(O)cc1)OC1OC(CO)C(O)C1O,GenMol,5.163043,1.4983224
O=C(CCN1CCCOC1=O)OC1OC(CO)C(O)C1O,GenMol,7.162304,1.1265926
O=C(Cc1ccc(I)cc1)OC1OC(CO)C(O)C1O,GenMol,6.952041,1.258093
CC(=O)OCCC(=O)OC1OC(CO)C(O)C1O,GenMol,6.032527,0.48230225
CC(=O)OCCC(=O)OC1OC(CO)C(O)C1O,GenMol,5.897598,0.71372205
CC(=O)OCCC(=O)OC1OC(CO)C(O)C1O,GenMol,6.018277,0.6577836
O=C(Cc1ccc(S)cc1)OC1OC(CO)C(O)C1O,GenMol,6.5044084,0.7391442
NC(=O)OCCC(=O)OC1OC(CO)C(O)C1O,GenMol,5.7851505,0.4481821
NS(=O)(=O)OCC(=O)OC1OC(CO)C(O)C1O,GenMol,8.147496,0.32470286
NS(=O)(=O)OCC(=O)OC1OC(CO)C(O)C1O,GenMol,8.047043,0.42768458
CS(=O)(=O)CCCCCC(=O)OC1OC(CO)C(O)C1O,GenMol,5.7937016,2.7921665
CS(=O)(=O)OCC(=O)OC1OC(CO)C(O)C1O,GenMol,8.281094,0.19750084
CS(=O)(=O)OCC(=O)OC1OC(CO)C(O)C1O,GenMol,8.232639,0.24561828
O=C(O)CCCCCCCCCC(=O)OC1OC(CO)C(O)C1O,GenMol,5.936459,2.664907
O=C(O)CCCCCCCCCC(=O)OC1OC(CO)C(O)C1O,GenMol,5.643057,2.5511374
C[C@H](O)[C@@H](C)N(C)C(=O)c1cnc2n(c1=O)CCc1ccccc1-2,MolMin,7.5815616,2.2116852
Cc1nc2cccc(Cl)c2n1[C@H]1CC=C(N(C)[C@H](C)[C@H](C)O)CC1,MolMin,-2.735198,4.727137
CC1=C(C(C)(C)[C@H](C)O)[C@@H](C)NC(=O)N1c1ccccc1Cl,MolMin,5.8797097,2.1694362
C[C@@H](O)C1C[C@@H]2CC[C@@H](C1)N2C(=O)c1cc(-c2ccc(Cl)cc2)n[nH]1,MolMin,6.0431237,2.0908027
C[C@H](O)[C@@H]1OCCN2C(=O)c3c(c4ccccc4n(CC(F)F)c3=O)C[C@H]12,MolMin,6.5201464,1.1542257
O[C@@H]1CC[C@@H]2[C@H]1CCCCN2Cc1cc[nH]c1Cl,MolMin,5.7978354,1.7138704
C[C@@H](C(=O)O)N(C(=O)OC(C)(C)C)C1=Nc2ccccc2N2CCCC[C@@H]12,MolMin,6.5207644,1.3088772
CN(C(=O)c1cc2cc(Cl)ccc2nn1)C1=CCCC1,MolMin,6.3941402,2.059612
C[C@H](O)[C@H](C)OC(=O)C1=CC=Nc2c(ncc(Cl)c2C#N)N1C,MolMin,6.078592,1.5607637
C[C@H](O)[C@H](C)N1C(=N)N2C(=CC=C(Cl)Cl)CC[C@@H]2C1=O,MolMin,5.9100957,1.2707042
C[C@@H](C(=O)O)N(C)C(=O)C1=C2CCO[C@H]2[C@@H]2C(Cl)=CN(C)C2=N1,MolMin,6.8351502,1.6304775
O=C([C@@H]1C=Cc2ccccc2N=N1)N1CCCC[C@H]1[C@H](O)C(F)(F)Cl,MolMin,7.5105033,1.3633182
O=C(c1nn(CC(Cl)Cl)c(=O)c2ccccc12)N1CCC[C@H]2[C@H](O)C[C@H]21,MolMin,6.144305,1.4528291
C[C@H]1C(=C2C=CN(Cc3ccccc3)C=N2)CC[C@@H](N(C)C(=O)OC(C)(C)C)[C@H]1O,MolMin,6.3910522,0.95278674
C[C@H](CN(C)C(=O)[C@@H]1CC2=C(CCN(C(=O)OC(C)(C)C)C2)N=N1)C(=O)O,MolMin,4.9713197,1.6230069
C[C@@H](O)[C@H](O)CN(C)C(=O)[C@@H]1CCCCN1C(=O)c1cc2ccccc2nn1,MolMin,-1.838496,4.7746773
C[C@@H](O)[C@H](C(=O)N1CCC2=C(C1)Nc1ccccc1N=N2)N(C)C(=O)OC(C)(C)C,MolMin,6.464023,2.5779395
Cc1cc(C(=O)N[C@@H](C)[C@H](C)O)cc(Nc2ccc(Cl)cc2)n1,MolMin,5.975032,1.7554661
COC[C@H](O)CN1CC[C@H]2[C@H]1CCCN2C(=O)C=C(Cl)Cl,MolMin,7.0605288,2.2006805
CC(C)(C)OC(=O)N1CCC2(CCC(C(=O)O)=NN2)CC1,MolMin,7.3107367,2.1823938
CC(C)(C)OC(=O)N1CCC2=C(CCNC(C(N)=O)=N2)C1,MolMin,6.1266212,1.9999774
C[C@H](O)[C@H](C)N(C)C(=O)c1ccc2nc3ccccc3c(=O)n2c1,MolMin,6.9539843,2.4510937
CC(C)(C)OC(=O)N1CCC[C@@H]2CC(=NN3CC=C(Cl)C3)C[C@H]21,MolMin,6.5500646,1.4488679
CCOC(=O)C1=C(C(=O)N(C)[C@@H](C)[C@H](C)O)[C@H](c2ccccc2)N2C(=N1)c1ccccc12,MolMin,7.0486183,0.51080394
C=C(CCl)C(=O)N1CCC2(CC1)CC(C(=O)O)=NO2,MolMin,6.8886957,0.7933567
C=C(C)CN1CC2=C(C(=O)OC)N(c3ccc(Cl)cc3)CCN2C1=O,MolMin,7.213186,1.3961799
