smiles,tool,tSNE1,tSNE2
CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CC3(C[C@H]2C(=O)O)SCCS3,input,-40.89983,-108.482475
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,11.826663,48.5145
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,11.826663,48.5145
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,11.826663,48.5145
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,11.826663,48.5145
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,11.826663,48.5145
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,11.826663,48.5145
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,11.826663,48.5145
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,11.826663,48.5145
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,11.826663,48.5145
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,11.826663,48.5145
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,11.826663,48.5145
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,11.826663,48.5145
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,11.826663,48.5145
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,11.826663,48.5145
O=C(O)C1CC2(CN1c1ccccc1-c1ccccc1)SCCS2,GenMol,241.60576,141.06284
O=C(O)C1CC2(CN1C(=O)c1ccc(-n3cccn3)cc1)SCCS2,GenMol,-423.4262,-94.45671
O=C(O)C1CC2(CN1c1ccc(O)cc1)SCCS2,GenMol,-104.07203,92.63977
O=C(O)C1CC2(CN1c1ccc(O)cc1)SCCS2,GenMol,-104.07203,92.63977
O=C(O)C1CC2(CN1c1ccccc1C(=O)N1CCCC1)SCCS2,GenMol,148.6651,-414.61365
O=C(O)C1CC2(CN1C(=O)CSc1ccccc1)SCCS2,GenMol,313.65628,69.03454
Nc1ccc(N2CC3(CC2C(=O)O)SCCS3)cc1,GenMol,-47.8489,156.85675
O=C(O)C1CC2(CN1c1ccc(C(=O)N3CCOCC3)[nH]1)SCCS2,GenMol,-341.82803,-9.031275
C=CC(=O)N1CC2(CC1C(=O)O)SCCS2,GenMol,-79.066666,236.03426
O=C(O)C1CC2(CN1c1ccc(Nc3ccccc3)cc1Cl)SCCS2,GenMol,259.4227,234.11227
O=C(O)C1CC2(CN1C(=O)N1CCNCC1)SCCS2,GenMol,-147.82407,179.15146
O=C(O)C1CC2(CN1c1ccccc1[N+](=O)[O-])SCCS2,GenMol,137.67511,28.986338
O=C(O)C1CC2(CN1)SCCS2,GenMol,33.073746,213.6868
