SMILES,Tanimoto,NLL,Status,UMAP1,UMAP2
CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,1.0,0.0,Query,-3.1067133,12.935917
CCS(=O)(=O)N1CC(C)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,0.7721518987341772,1.2450655698776243,Generate,-1.3220572,14.474826
CCS(=O)(=O)N1CCC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)CC1,0.8,2.3277392387390137,Generate,-0.16770299,13.443768
CCS(=O)(=O)N1CC(F)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,0.7721518987341772,2.6116416454315186,Generate,-1.0180708,13.560733
CCCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,0.8860759493670886,2.8330624103546143,Generate,-1.7718595,12.595509
CC(C)(C)S(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,0.7857142857142857,3.343975305557251,Generate,-2.3213263,12.655077
CCS(=O)(=O)N1CC(n2cc(-c3ncnc4[nH]ccc34)cn2)(C(F)(F)F)C1,0.7093023255813954,3.4305851459503174,Generate,-2.0286992,14.174768
CCS(=O)(=O)N1CC(CC(F)(F)F)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,0.7647058823529411,3.4937996864318848,Generate,-1.2336856,13.479574
CS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,0.8571428571428571,3.7154600620269775,Generate,-1.3185658,12.078263
CCS(=O)(=O)N1CC(n2cc(-c3ncnc4[nH]ccc34)cn2)(S(C)(=O)=O)C1,0.7093023255813954,4.032797813415527,Generate,-0.6283439,13.732041
CN(C)S(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,0.8048780487804879,4.154500484466553,Generate,-2.3453076,12.2421055
