SMILES,Tanimoto,NLL,Status,UMAP1,UMAP2
CC(C)Nc1nc2cc(Cl)c(Cl)cc2n1[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,1.0,0.0,Query,25.215483,14.799233
CNc1nc2cc(Cl)c(Cl)cc2n1[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,0.8115942028985508,1.935033679008484,Generate,26.384375,15.240802
OC[C@H]1O[C@@H](n2c(Cl)nc3cc(Cl)c(Cl)cc32)[C@H](O)[C@@H]1O,0.7183098591549296,2.0340616703033447,Generate,25.231085,15.485821
CCNc1nc2cc(Cl)c(Cl)cc2n1[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,0.7777777777777778,2.40932559967041,Generate,26.62547,15.729182
OC[C@H]1O[C@@H](n2c(NC3CC3)nc3cc(Cl)c(Cl)cc32)[C@H](O)[C@@H]1O,0.7236842105263158,2.551243782043457,Generate,24.246561,18.096823
CCCNc1nc2cc(Cl)c(Cl)cc2n1[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,0.7466666666666667,2.5652108192443848,Generate,26.363543,15.832817
CC(C)Nc1nc2cc(Cl)c(Cl)cc2n1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,1.0,2.802175045013428,Generate,24.744284,15.959852
CC(C)CNc1nc2cc(Cl)c(Cl)cc2n1[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,0.821917808219178,2.968568563461304,Generate,26.60565,15.053644
CCCCNc1nc2cc(Cl)c(Cl)cc2n1[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,0.717948717948718,3.3221466541290283,Generate,27.109486,16.413189
Cc1nc2cc(Cl)c(Cl)cc2n1[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,0.7428571428571429,4.060234546661377,Generate,25.766178,14.946753
CSc1nc2cc(Cl)c(Cl)cc2n1[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,0.7123287671232876,4.066798686981201,Generate,25.904102,15.0825
OC[C@H]1O[C@@H](n2c(I)nc3cc(Cl)c(Cl)cc32)[C@H](O)[C@@H]1O,0.7183098591549296,4.122921943664551,Generate,25.977224,14.677152
CN(C)c1nc2cc(Cl)c(Cl)cc2n1[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,0.7162162162162162,4.207329750061035,Generate,25.341825,14.858748
CC(C)Nc1nc2ccc(Cl)cc2n1[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,0.7297297297297297,4.212662696838379,Generate,25.563301,14.767705
CCC(C)Nc1nc2cc(Cl)c(Cl)cc2n1[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,0.8472222222222222,4.3081583976745605,Generate,25.616608,15.088821
Nc1nc2cc(Cl)c(Cl)cc2n1[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,0.7183098591549296,4.350524425506592,Generate,25.502672,15.332744
CC(C)(C)Nc1nc2cc(Cl)c(Cl)cc2n1[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,0.76,4.3865742683410645,Generate,27.262169,15.20822
CC(C)Nc1nc2cc(Cl)c(Cl)cc2n1[C@H]1O[C@H](CO)[C@@H](O)[C@H]1O,1.0,4.52013111114502,Generate,25.6663,14.336535
