SMILES,Tanimoto,NLL,Status,UMAP1,UMAP2
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,1.0,0.0,Query,-8.955616,5.17239
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)OCCS2,0.7755102040816326,1.262153148651123,Generate,-8.053457,5.730745
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(CCCS2)C[C@H]1C(=O)O,0.7755102040816326,2.3769242763519287,Generate,-10.669694,6.209179
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(CCCO2)C[C@H]1C(=O)O,0.7755102040816326,3.179405450820923,Generate,-10.361778,7.2998543
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)NO)SCCS2,0.7227722772277227,3.394996166229248,Generate,-11.002617,4.9465933
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(CC1C(=O)O)OCCS2,0.8829787234042553,3.648273229598999,Generate,-7.9800286,5.561945
CCOC(=O)[C@H](Cc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,0.7755102040816326,3.6972134113311768,Generate,-8.500232,6.507561
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)OCCO2,0.8791208791208791,3.8336901664733887,Generate,-10.349904,4.003254
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)N(C)C)SCCS2,0.7227722772277227,4.096607685089111,Generate,-9.230564,4.5709486
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)N1CCCC1)SCCS2,0.845360824742268,4.187766551971436,Generate,-9.361066,5.887047
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2(=O)=O,,4.261603832244873,Generate,-9.494006,3.6419935
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SC/C2=N/O,0.780952380952381,4.283683300018311,Generate,-8.495401,3.587946
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)N1CCOCC1)SCCS2,0.7450980392156863,4.29283332824707,Generate,-9.277151,5.7158775
CCOC(=O)[C@H](CCc1cccc(F)c1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,0.7254901960784313,4.478874683380127,Generate,-8.934429,4.7542415
CCOC(=O)[C@@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,0.7592592592592593,4.49183988571167,Generate,-8.0161915,4.6286488
CCOC(=O)[C@H](CCc1cccc(Cl)c1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,0.8144329896907216,4.591888904571533,Generate,-9.394484,4.2557817
CCOC(=O)[C@H](CCCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,1.0,4.755519390106201,Generate,-10.325879,5.7797475
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)NC(C)C)SCCS2,0.7755102040816326,4.760256290435791,Generate,-9.960592,4.099615
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)OCC)SCCS2,0.8144329896907216,4.880030155181885,Generate,-8.085049,4.1650376
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCC(=O)S2,0.9239130434782608,4.918901920318604,Generate,-9.091822,3.8130772
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)OC)SCCS2,0.82,5.04985237121582,Generate,-9.33686,5.336825
C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,0.8367346938775511,5.050657272338867,Generate,-9.909502,4.9487786
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(N)=O)SCCS2,0.826530612244898,5.114273548126221,Generate,-9.473256,4.8057613
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)N1CCCCC1)SCCS2,0.8631578947368421,5.150318622589111,Generate,-9.552904,6.10758
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(CCCS2)CC1C(=O)O,0.8260869565217391,5.17105770111084,Generate,-10.8616,6.039644
COC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,0.8913043478260869,5.182376384735107,Generate,-9.875593,6.510872
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(CCCCS2)C[C@H]1C(=O)O,0.7592592592592593,5.280649185180664,Generate,-10.62362,6.128504
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@@H]1C(=O)O)SCCS2,0.7755102040816326,5.319516658782959,Generate,-9.052665,4.047891
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)NCCS2,0.8791208791208791,5.369783878326416,Generate,-10.224041,4.3648286
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)NS(C)(=O)=O)SCCS2,0.7524752475247525,5.408121109008789,Generate,-9.407021,4.1174736
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)NC(C)(C)C)SCCS2,0.7755102040816326,5.4655375480651855,Generate,-9.13537,4.9994082
