SMILES,Tanimoto,NLL,Status,UMAP1,UMAP2
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,1.0,0.0,Query,28.604073,4.5519924
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)N(CC)CC)SCCS2,0.7961165048543689,6.493695259094238,Generate,27.406319,4.4950433
CCOC(=O)[C@@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,1.0,4.491835594177246,Generate,30.072062,4.503833
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(CC1C(=O)N(C)C)SCCS2,0.845360824742268,9.379047393798828,Generate,27.81356,4.5793962
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)OCCS2,0.7755102040816326,1.2621527910232544,Generate,28.224442,5.2423615
CCOC(=O)[C@H](Cc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,0.8791208791208791,3.697216749191284,Generate,29.423132,5.488888
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SC/C2=N/O,0.7755102040816326,4.283682823181152,Generate,29.302315,4.9967227
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@@H]1C(=O)O)SCCS2,0.7254901960784313,5.319518089294434,Generate,29.61807,5.973559
CCOC(=O)[C@H](CCc1cccc(F)c1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,1.0,4.478874683380127,Generate,29.70102,4.969218
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(CCCS2)C[C@H]1C(=O)O,0.7755102040816326,2.376927137374878,Generate,28.729525,3.4422333
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2(=O)=O,,4.261603355407715,Generate,28.82783,6.266427
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCC(=O)S2,0.8144329896907216,4.918906211853027,Generate,30.097372,5.01839
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(CC1C(=O)O)OCCS2,0.7755102040816326,4.521371364593506,Generate,28.403774,5.4842076
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)N1CCCC1)SCCS2,0.7755102040816326,4.187766075134277,Generate,27.318094,5.6022844
CCOC(=O)[C@@H](Cc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,0.7755102040816326,5.545513153076172,Generate,29.866413,5.6450295
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)OC)OCCS2,0.7755102040816326,10.036208152770996,Generate,27.889442,5.5754504
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(CC(=O)CS2)C[C@H]1C(=O)O,0.7755102040816326,7.011012554168701,Generate,28.845882,5.121343
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(N)=O)SCCS2,0.7450980392156863,5.11427116394043,Generate,29.00648,4.611537
CCOC(=O)[C@@H](CCc1ccccc1)N[C@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,0.7755102040816326,6.902022838592529,Generate,28.891085,5.5802426
CCOC(=O)[C@H](CCc1ccccc1Cl)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,0.7755102040816326,5.668697834014893,Generate,29.633608,4.4526935
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)NO)SCCS2,0.826530612244898,3.39499568939209,Generate,28.50687,4.032947
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)OCC)SCCS2,0.7755102040816326,4.880029201507568,Generate,29.17578,5.811054
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(CC1C(=O)O)SCCS2,0.7755102040816326,7.440374374389648,Generate,29.727419,3.259069
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(CCCO2)C[C@H]1C(=O)O,0.7755102040816326,3.179405450820923,Generate,29.49314,3.5960171
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)OCCS2(=O)=O,0.7755102040816326,5.843188285827637,Generate,30.186943,3.5674536
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)OC(C)(C)C)SCCS2,0.780952380952381,6.703256130218506,Generate,30.600075,5.2525353
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)N(C)C)SCCS2,0.8791208791208791,4.096611022949219,Generate,27.510862,4.9528785
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(CC1C(=O)O)SCC(=O)N2C,0.7755102040816326,13.021089553833008,Generate,29.047644,4.072402
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)OCCO2,1.0,3.8336894512176514,Generate,30.322268,5.9128857
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(CCCS2)C[C@H]1C(=O)NO,1.0,5.604100704193115,Generate,28.07874,3.6769435
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC2(CSCCS2)C1,0.7755102040816326,7.031391620635986,Generate,29.63577,6.385299
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)N1CCCCC1)SCCS2,,5.1503190994262695,Generate,26.969013,5.6202674
CCOC(=O)[C@H](CCc1cccc(Cl)c1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,0.7755102040816326,4.591886520385742,Generate,28.382214,6.399135
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)NCCO2,0.826530612244898,9.343172073364258,Generate,29.937798,4.014334
CCOC(=O)[C@H](CCCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,0.7755102040816326,4.755523204803467,Generate,30.483063,4.444937
