smiles,tool
CCS(=O)(=O)N1CC(C1)(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,input
CCS(=O)(=O)N1CC(CC#N)(c2ccc(C(F)(F)F)cc2)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(c2ccc(C(F)(F)F)cc2)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(c2cccc(C(F)(F)F)c2)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(c2ccc(C(F)(F)F)cc2)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(c2ccc(C(F)(F)F)cc2)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(c2ccc(C(F)(F)F)cc2)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(c2cccc(C(F)(F)F)c2)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(c2ccc(C(F)(F)F)cc2)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(c2ccc(C(F)(F)F)cn2)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(NC(=O)CCC(F)(F)F)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(NC(=O)CCC(F)(F)F)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(NC(=O)CCC(F)(F)F)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(NC(=O)CCC(F)(F)F)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(NC(=O)C2CCCCCC2)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(OC(=O)c2ccccc2Cl)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(OC(=O)c2ncccc2Cl)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(C(=O)Cc2ccc(Br)s2)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(NC(=O)CCC2CC2)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(NC(=O)CCC2CC2)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(OC(=O)c2ccccc2Br)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC(F)(F)F)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC(F)(F)F)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC(F)(F)F)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC(F)(F)F)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC(F)(F)F)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC(C)(F)F)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC2CC2)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC2CC2)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC2CC2)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC2CC2)C1,GenMol
