smiles,tool,tSNE1,tSNE2
CC(C)NC1=NC2=CC(=C(C=C2N1[C@@H]3[C@H]([C@H]([C@@H](O3)CO)O)O)Cl)Cl,input,-1111.7338,-337.01178
O=C(Cc1ccc(Cl)cc1)OC1OC(CO)C(O)C1O,GenMol,-663.8317,-469.00458
O=C(Cc1ccc(Cl)cc1)OC1OC(CO)C(O)C1O,GenMol,-663.8317,-469.00458
O=C(Cc1ccc(Cl)cc1)OC1OC(CO)C(O)C1O,GenMol,-663.8317,-469.00458
O=C(Cc1ccc(F)cc1)OC1OC(CO)C(O)C1O,GenMol,80.58473,-645.181
O=C(Cc1ccc(F)cc1)OC1OC(CO)C(O)C1O,GenMol,80.58473,-645.181
O=C(Cc1ccc(F)cc1)OC1OC(CO)C(O)C1O,GenMol,80.58473,-645.181
O=C(Cc1ccc(O)cc1)OC1OC(CO)C(O)C1O,GenMol,-220.04477,-78.695
O=C(Cc1ccc(O)cc1)OC1OC(CO)C(O)C1O,GenMol,-220.04477,-78.695
O=C(Cc1ccc(O)cc1)OC1OC(CO)C(O)C1O,GenMol,-220.04477,-78.695
O=C(Cc1ccc(O)cc1)OC1OC(CO)C(O)C1O,GenMol,-220.04477,-78.695
CC(=O)OCCC(=O)OC1OC(CO)C(O)C1O,GenMol,-638.893,816.2101
O=C(Cc1ccc(I)cc1)OC1OC(CO)C(O)C1O,GenMol,-444.98206,-975.5913
CC(=O)OCCC(=O)OC1OC(CO)C(O)C1O,GenMol,-638.893,816.2101
CC(=O)OCCC(=O)OC1OC(CO)C(O)C1O,GenMol,-638.893,816.2101
O=C(Cc1ccc(O)nc1)OC1OC(CO)C(O)C1O,GenMol,-340.83746,348.1402
Nc1ccc(CC(=O)OC2OC(CO)C(O)C2O)cc1,GenMol,358.98502,-89.70731
Nc1ccc(CC(=O)OC2OC(CO)C(O)C2O)cc1,GenMol,358.98502,-89.70731
Nc1ccc(CC(=O)OC2OC(CO)C(O)C2O)cc1,GenMol,358.98502,-89.70731
CC(C)OCCOC(=O)C1OC(CO)C(O)C1O,GenMol,-966.0028,271.82877
NS(=O)(=O)OCC(=O)OC1OC(CO)C(O)C1O,GenMol,243.54642,-1190.7205
CS(=O)(=O)CCCCCC(=O)OC1OC(CO)C(O)C1O,GenMol,16.885874,1040.1456
CS(=O)(=O)OCC(=O)OC1OC(CO)C(O)C1O,GenMol,245.59283,576.42255
CS(=O)(=O)OCC(=O)OC1OC(CO)C(O)C1O,GenMol,245.59283,576.42255
CS(=O)(=O)OCC(=O)OC1OC(CO)C(O)C1O,GenMol,245.59283,576.42255
[2H]S(=O)(=O)OCC(=O)OC1OC(CO)C(O)C1O,GenMol,802.27203,-702.1262
O=C(O)CCCCCCCCCC(=O)OC1OC(CO)C(O)C1O,GenMol,1237.8881,-123.31057
NS(=O)(=O)CCCCCC(=O)OC1OC(CO)C(O)C1O,GenMol,915.2146,-136.53046
NS(=O)(=O)CCCCOC(=O)C1OC(CO)C(O)C1O,GenMol,892.8623,811.9982
NS(=O)(=O)CCCCOC(=O)C1OC(CO)C(O)C1O,GenMol,892.8623,811.9982
O=C(C[C@@H](O)C(O)C(=O)O)OC1OC(CO)C(O)C1O,GenMol,722.2336,258.70526
