smiles,tool,tSNE1,tSNE2
CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CC3(C[C@H]2C(=O)O)SCCS3,input,-871.4711,907.126
O=C(O)C1CC2(CN1c1ccc(F)cc1)SCCS2,GenMol,-129.85991,-1693.4163
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,-312.1736,-51.934624
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,-312.1736,-51.934624
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,-312.1736,-51.934624
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,-312.1736,-51.934624
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,-312.1736,-51.934624
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,-312.1736,-51.934624
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,-312.1736,-51.934624
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,-312.1736,-51.934624
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,-312.1736,-51.934624
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,-312.1736,-51.934624
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,-312.1736,-51.934624
O=C(O)C1CC2(CN1c1ccc(O)cc1)SCCS2,GenMol,579.2918,452.26556
O=C(O)C1CC2(CN1c1ccccc1C(=O)N1CCCC1)SCCS2,GenMol,-1159.8346,395.335
O=C(O)C1CC2(CN1c1ccc(O)cc1)SCCS2,GenMol,579.2918,452.26556
O=C(O)C1CC2(CN1C(=O)c1cn[nH]c1-c1ccccc1)SCCS2,GenMol,1126.3898,1172.5928
O=C(O)C1CC2(CN1c1ccc(S)cc1)SCCS2,GenMol,1534.4413,443.122
CCN1CCN(C(=O)N2CC3(CC2C(=O)O)SCCS3)CC1,GenMol,1310.0947,-956.32465
CC(=O)N1CC2(CC1C(=O)O)SCCS2,GenMol,388.605,-451.7879
CNC(=O)N1CC2(CC1C(=O)O)SCCS2,GenMol,-457.16507,-918.5804
O=C(O)C1CC2(CN1c1ccccc1-c1nc3ccccc3[nH]1)SCCS2,GenMol,190.42174,-1026.4274
O=C(O)C1CC2(CN1c1ccc(-c3nc4ccccc4[nH]3)cc1)SCCS2,GenMol,594.22754,-1287.0045
O=CNN1CC2(CC1C(=O)O)SCCS2,GenMol,-337.2432,728.20074
O=C(O)C1CC2(CN1)SCCS2,GenMol,163.22781,1251.1803
O=C(O)C1CC2(CN1)SCCS2,GenMol,163.22781,1251.1803
O=C(O)C1CC2(CN1)SCCS2,GenMol,163.22781,1251.1803
NC(=O)C(=O)N1CC2(CC1C(=O)O)SCCS2,GenMol,-1016.7898,-726.01556
NN1CC2(CC1C(=O)O)SCCS2,GenMol,1009.3025,-190.43643
NN1CC2(CC1C(=O)O)SCCS2,GenMol,1009.3025,-190.43643
O=C(O)C1CC2(CN1CC(O)=Nc1cccc(Cl)c1Cl)SCCS2,GenMol,-1210.3492,-169.79915
