smiles,tool
CCS(=O)(=O)N1CC(C1)(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,input
CCN1C(Nc2csc3ncnc-3n2)=C(C#N)CC1(C)C,MolMin
CC(C)N1CCC(C#N)(CN2CCc3ccsc3N=C2N)CC1,MolMin
CC1=C(Cn2c(C)c(C#N)c(C#N)c2C)NN2CC=CC2=N1,MolMin
CC(C)(C)OC(=O)N1CCC2(CCN(Cc3c[nH]c4ncnc-4n3)CC2)C1,MolMin
N#CC12CCC(CCNC3=NC=NC4=NCCN43)(CC1)CC2,MolMin
CCn1c(C)c(C#N)c(C#N)nc1=Nc1ccn2c1CCC2,MolMin
CC1=NS(=O)(=O)CCC12CCN(Cc1[nH]c(N)c(C)c1C#N)CC2,MolMin
NC1CCC2(CC1)CCN(Cc1[nH]c(=S)n3c1CCC=N3)CC2,MolMin
CC1=CCC2=C(N3CC(C)(C)C(C)(C)C3(C#N)C#N)NC=CN12,MolMin
Cc1c(C#N)c(CN2CCCN3CCS(=O)(=O)N=C32)c(C)n1C,MolMin
COC(=O)C1(C#N)C(C)=C(C)C(C#N)=C(N)n2c1nc1cccn12,MolMin
Cc1nc(CNC(=O)C2=CN3C(=CC3=NS(C)(=O)=O)N2)c(C)n1C(C)C,MolMin
CCOC(=O)C1=C(C)NCC12CCN(CC1=CSC3=NCCN13)CC2,MolMin
CN1C(N)=C(C#N)C2=NCCC2=C1C(=O)N1CCC2(CCSC2)CC1,MolMin
CC(C)c1c(C#N)c2n(c(=N)c1NS(=O)(=O)N(C)C)CCN2,MolMin
CN1C=N[SH]2C(CN3CCC4(CC3)CCN(S(C)(=O)=O)CC4)=CN=C12,MolMin
Cc1cnc2c(C#N)c(Nc3[nH]c(C)c(C)c3C#N)sc2c1C#N,MolMin
Cn1c(C#N)csc1=NC1=CCN(NC2=C3CCCN=C3NN2)CC1,MolMin
CS(=O)(=O)N1CCC2(CCN(C(=O)C3=CNN4C=NC=CN34)CC2)CC1,MolMin
CC1(C)CCN(c2c(N)[nH]c3c2CCC(C#N)=C2CCCN23)C(=N)S1,MolMin
CNC(=S)N1CCCC2(CCN(S(C)(=O)=O)CC2)C1=N,MolMin
CS(=O)(=O)CC1(CNC2=C(C#N)C(=S)N3CCCN=C3N2)CC1,MolMin
N#CC1(S(N)(=O)=O)CCN(C(=O)C2=CNN3C=CSC3=N2)CC1,MolMin
CC1=C(C)C(C#N)=C(NC(=O)c2c(C)cn3[nH]ccc23)S(=N)(=O)N1,MolMin
CC1(C)CCC2=C1CCN1C(=N)NC3=NS(=O)(=O)CCN3C1=CC2,MolMin
CC(=O)N1CC2(CCN(C(=O)C3=CN4CCS(=O)(=O)N=C4N3)CC2)C1,MolMin
CSC1(CN2C(=O)C3=C(NC(C)=C2C#N)C(=N)NS3(=O)=O)CCN(C)CC1,MolMin
CCn1c(SC)nn2c3c(=O)n(C)c(C)c(C(=O)OC)c3nc12,MolMin
NC(=O)C1(C(N)=S)CCN(Cc2nc3c([nH]2)S(=O)(=O)NCC3)CC1,MolMin
Cc1[nH]c(CS(C)(=O)=O)c2c1C(N)=C(N1C=N[SH]=C1)C(C#N)=C(N)N2,MolMin
