smiles,tool,tSNE1,tSNE2
CCS(=O)(=O)N1CC(C1)(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,input,35.599583,114.51688
CCN1C(Nc2csc3ncnc-3n2)=C(C#N)CC1(C)C,MolMin,20.80757,73.411514
CC(C)N1CCC(C#N)(CN2CCc3ccsc3N=C2N)CC1,MolMin,-20.913977,-79.347206
CC1=C(Cn2c(C)c(C#N)c(C#N)c2C)NN2CC=CC2=N1,MolMin,35.70929,-1.1738917
CC(C)(C)OC(=O)N1CCC2(CCN(Cc3c[nH]c4ncnc-4n3)CC2)C1,MolMin,-71.54438,87.39752
N#CC12CCC(CCNC3=NC=NC4=NCCN43)(CC1)CC2,MolMin,-55.03733,7.5795827
CCn1c(C)c(C#N)c(C#N)nc1=Nc1ccn2c1CCC2,MolMin,51.869892,52.30672
CC1=NS(=O)(=O)CCC12CCN(Cc1[nH]c(N)c(C)c1C#N)CC2,MolMin,9.481319,4.023846
NC1CCC2(CC1)CCN(Cc1[nH]c(=S)n3c1CCC=N3)CC2,MolMin,-78.391174,-27.374659
CC1=CCC2=C(N3CC(C)(C)C(C)(C)C3(C#N)C#N)NC=CN12,MolMin,-20.339453,64.25801
Cc1c(C#N)c(CN2CCCN3CCS(=O)(=O)N=C32)c(C)n1C,MolMin,10.852127,-16.60409
COC(=O)C1(C#N)C(C)=C(C)C(C#N)=C(N)n2c1nc1cccn12,MolMin,-70.735794,-78.882614
Cc1nc(CNC(=O)C2=CN3C(=CC3=NS(C)(=O)=O)N2)c(C)n1C(C)C,MolMin,73.49262,-68.51207
CCOC(=O)C1=C(C)NCC12CCN(CC1=CSC3=NCCN13)CC2,MolMin,24.787924,-87.86833
CN1C(N)=C(C#N)C2=NCCC2=C1C(=O)N1CCC2(CCSC2)CC1,MolMin,28.541327,28.344286
CC(C)c1c(C#N)c2n(c(=N)c1NS(=O)(=O)N(C)C)CCN2,MolMin,34.50249,-39.946987
CN1C=N[SH]2C(CN3CCC4(CC3)CCN(S(C)(=O)=O)CC4)=CN=C12,MolMin,-19.539633,4.97614
Cc1cnc2c(C#N)c(Nc3[nH]c(C)c(C)c3C#N)sc2c1C#N,MolMin,-2.6196475,-44.67077
Cn1c(C#N)csc1=NC1=CCN(NC2=C3CCCN=C3NN2)CC1,MolMin,115.439156,-2.7103806
CS(=O)(=O)N1CCC2(CCN(C(=O)C3=CNN4C=NC=CN34)CC2)CC1,MolMin,-27.002068,-12.766276
CC1(C)CCN(c2c(N)[nH]c3c2CCC(C#N)=C2CCCN23)C(=N)S1,MolMin,72.02853,18.472073
CNC(=S)N1CCCC2(CCN(S(C)(=O)=O)CC2)C1=N,MolMin,-4.2833543,18.744019
CS(=O)(=O)CC1(CNC2=C(C#N)C(=S)N3CCCN=C3N2)CC1,MolMin,3.2821698,42.52056
N#CC1(S(N)(=O)=O)CCN(C(=O)C2=CNN3C=CSC3=N2)CC1,MolMin,-40.444286,-37.420074
CC1=C(C)C(C#N)=C(NC(=O)c2c(C)cn3[nH]ccc23)S(=N)(=O)N1,MolMin,-99.25266,12.520742
CC1(C)CCC2=C1CCN1C(=N)NC3=NS(=O)(=O)CCN3C1=CC2,MolMin,-57.624397,46.602985
CC(=O)N1CC2(CCN(C(=O)C3=CN4CCS(=O)(=O)N=C4N3)CC2)C1,MolMin,-29.819696,31.52371
CSC1(CN2C(=O)C3=C(NC(C)=C2C#N)C(=N)NS3(=O)=O)CCN(C)CC1,MolMin,-118.809364,57.30097
CCn1c(SC)nn2c3c(=O)n(C)c(C)c(C(=O)OC)c3nc12,MolMin,91.86933,67.23196
NC(=O)C1(C(N)=S)CCN(Cc2nc3c([nH]2)S(=O)(=O)NCC3)CC1,MolMin,-24.061825,101.471725
Cc1[nH]c(CS(C)(=O)=O)c2c1C(N)=C(N1C=N[SH]=C1)C(C#N)=C(N)N2,MolMin,67.12601,-22.274038
