smiles,tool,tSNE1,tSNE2
CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CC3(C[C@H]2C(=O)O)SCCS3,input,54.141132,57.264893
Cc1nc2ccccc2cc1C[C@H](C)N1C[C@H](C)OC2(CCOCC2)C1,MolMin,-15.975997,-29.812025
N=c1[nH]n(C[C@@H]2CCCO2)c(=NC(=O)C2CCC3(CC2)COc2ccccc2O3)s1,MolMin,88.070015,-0.80510056
C=CC[C@@H](NC(C)=O)C(=O)N1CCC2(CC1)CNC(=O)c1ccccc1O2,MolMin,31.403732,-3.5074246
CC[C@@H]1NC(=O)N(CC2CC2)C(C)=C1C(=O)N1CC[C@@H](COC)O[C@H](C)C1,MolMin,-42.475662,-4.3190613
COC[C@@H]1OCCN(C[C@H](C)CN2CCC3(C=Cc4ccccc4N=C3)CC2)C1=O,MolMin,-77.29968,59.007866
CO[C@@H]1C[C@@H](NC(=O)OC(C)(C)C)C2(CCN([C@@H](C)c3cc4ccccc4c(=O)[nH]3)CC2)C1,MolMin,-3.4352126,61.06803
C=CC[C@@H](NC(C)=O)C(=O)N1CCC2(CC1)C[C@@H](OC)CS2(=O)=O,MolMin,23.258003,11.449181
C=CC[C@H](CC[C@@H](C)N1CCC2(CC1)C[C@@H](OC)CO2)NC,MolMin,0.19837107,18.513084
CCOC(=O)C1=C(CN2CCC3(CC2)C[C@@H](OCC)C[C@H]3O)C=CN[C@H]1C,MolMin,25.198233,77.5172
C=CC[C@H](C=C)CC(=O)N1CCC2(C1)CN(C(=O)[C@@H]1CCO[C@H](C)C1)C2,MolMin,23.269657,-29.837006
COC[C@@H](C)N1C(=O)C2(CCCC2)N=C1NC(=O)[C@@H](C)N1C[C@@H](C)OC2(CCOCC2)C1,MolMin,-6.922525,-48.17718
COC[C@H](C)N1CCC2(CC1)CN([C@@H](C)CC1=C(C)O[C@H](C)C1)Cc1ccccc12,MolMin,-35.611996,66.484
C[C@H](CC(=O)N1C[C@@H](F)C2(CCOCC2)C1)NC(=O)C[C@@H]1C(=O)Nc2ccccc2C1=O,MolMin,-61.821175,-39.44207
CCOC[C@@H]1CCCN(C(=O)C[C@@H](C)N2CCC3(CC2)C[C@H](OCC)CCO3)C1,MolMin,-15.297167,2.9277444
CCOC(=O)C1=C(C[C@H](C)N2CCC3(CC2)C[C@@H](OC(F)(F)F)CO3)NC(=O)N[C@H]1C,MolMin,-17.614267,30.825424
CC(C)=CC[C@@H](CC1CC1)CN1C[C@H](OCC2CC2)OC[C@@H]1C,MolMin,16.12339,37.816547
COc1ccc(N2CCN(C(=O)C[C@@H](C)CC(=O)N3CCC(c4ccc5c(c4)OCCO5)=N3)CC2)cc1,MolMin,-10.278607,108.214096
COC(=O)[C@@H]1CN(C(=O)C(=O)N[C@@H](C)CC(=O)N2c3ccccc3C[C@H]2C)CCO1,MolMin,91.765076,43.270355
CCOC(=O)C1=C2CN[C@H](C)C(C(=O)O[C@@H](C)C(=O)N3CCO[C@H](C)C3)=C2C(=O)N[C@@H]1C,MolMin,55.875916,-15.675717
COc1cc2c(cc1OC)C(=O)C(N1CCN(C(=O)CCc3c(C)oc4ccccc34)CC1)=C2,MolMin,64.20081,-66.40734
C[C@H](CC(=O)N1CCC[C@H](C2OCCO2)C1)N1C(=O)c2ccccc2C1=C[N+](=O)[O-],MolMin,-35.41237,-73.819565
C=CCC(CC=C)NC(=O)C[C@H](NC(C)=O)C(=O)N1CCC2(CC1)C[C@H](OC)CCO2,MolMin,7.4419546,-2.035591
CCOC(=O)C1=C(C[C@H](C)N2CCC3(CC2)CO[C@H](C)C3)NC(=S)N[C@H]1c1ccco1,MolMin,-39.82597,32.946884
CCOC(=O)[C@@H]1CC[C@@H]2C(=O)C(=O)N([C@@H](C)CCc3c(C)oc4ccccc34)C(=O)N2C1,MolMin,81.26549,-58.64158
CCOC(=O)[C@H](CCC(=O)N[C@@H](C)CC)NC(=O)[C@H](C)N1CCOC2(CCOCC2)C1,MolMin,48.42271,24.915016
C=CCC(CC=C)N1C(=O)N(C[C@@H](C)N2C[C@H]3COC[C@@H](C2)O3)C(=O)C12CCCC2,MolMin,-75.21656,10.060964
COc1cc(S(=O)(=O)N2CCC3(CCN(C(=O)CCn4c(=O)oc5ccccc54)CC3)CC2)ccc1[N+](=O)[O-],MolMin,27.434158,-78.41791
