smiles,tool,UMAP1,UMAP2
CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CC3(C[C@H]2C(=O)O)SCCS3,input,-0.5850531,9.014063
Cc1nc2ccccc2cc1C[C@H](C)N1C[C@H](C)OC2(CCOCC2)C1,MolMin,-1.2283217,9.29071
N=c1[nH]n(C[C@@H]2CCCO2)c(=NC(=O)C2CCC3(CC2)COc2ccccc2O3)s1,MolMin,-0.7279206,10.00203
C=CC[C@@H](NC(C)=O)C(=O)N1CCC2(CC1)CNC(=O)c1ccccc1O2,MolMin,-0.12148695,9.641797
CC[C@@H]1NC(=O)N(CC2CC2)C(C)=C1C(=O)N1CC[C@@H](COC)O[C@H](C)C1,MolMin,-1.0131689,10.4133005
COC[C@@H]1OCCN(C[C@H](C)CN2CCC3(C=Cc4ccccc4N=C3)CC2)C1=O,MolMin,-0.57977223,9.633059
CO[C@@H]1C[C@@H](NC(=O)OC(C)(C)C)C2(CCN([C@@H](C)c3cc4ccccc4c(=O)[nH]3)CC2)C1,MolMin,-2.0075285,9.515313
C=CC[C@@H](NC(C)=O)C(=O)N1CCC2(CC1)C[C@@H](OC)CS2(=O)=O,MolMin,-2.3899384,9.135277
C=CC[C@H](CC[C@@H](C)N1CCC2(CC1)C[C@@H](OC)CO2)NC,MolMin,-0.5475538,10.716719
CCOC(=O)C1=C(CN2CCC3(CC2)C[C@@H](OCC)C[C@H]3O)C=CN[C@H]1C,MolMin,-1.8266584,8.257396
C=CC[C@H](C=C)CC(=O)N1CCC2(C1)CN(C(=O)[C@@H]1CCO[C@H](C)C1)C2,MolMin,-2.000171,10.329809
COC[C@@H](C)N1C(=O)C2(CCCC2)N=C1NC(=O)[C@@H](C)N1C[C@@H](C)OC2(CCOCC2)C1,MolMin,-1.7210802,8.889835
COC[C@H](C)N1CCC2(CC1)CN([C@@H](C)CC1=C(C)O[C@H](C)C1)Cc1ccccc12,MolMin,-0.17273547,10.204654
C[C@H](CC(=O)N1C[C@@H](F)C2(CCOCC2)C1)NC(=O)C[C@@H]1C(=O)Nc2ccccc2C1=O,MolMin,-0.08734198,10.773523
CCOC[C@@H]1CCCN(C(=O)C[C@@H](C)N2CCC3(CC2)C[C@H](OCC)CCO3)C1,MolMin,-1.184161,10.809985
CCOC(=O)C1=C(C[C@H](C)N2CCC3(CC2)C[C@@H](OC(F)(F)F)CO3)NC(=O)N[C@H]1C,MolMin,-0.76583827,8.397301
CC(C)=CC[C@@H](CC1CC1)CN1C[C@H](OCC2CC2)OC[C@@H]1C,MolMin,-1.2897203,10.01324
COc1ccc(N2CCN(C(=O)C[C@@H](C)CC(=O)N3CCC(c4ccc5c(c4)OCCO5)=N3)CC2)cc1,MolMin,0.424876,10.089204
COC(=O)[C@@H]1CN(C(=O)C(=O)N[C@@H](C)CC(=O)N2c3ccccc3C[C@H]2C)CCO1,MolMin,-2.5478654,9.906252
CCOC(=O)C1=C2CN[C@H](C)C(C(=O)O[C@@H](C)C(=O)N3CCO[C@H](C)C3)=C2C(=O)N[C@@H]1C,MolMin,-1.1008393,7.9706464
COc1cc2c(cc1OC)C(=O)C(N1CCN(C(=O)CCc3c(C)oc4ccccc34)CC1)=C2,MolMin,0.16945764,9.05755
C[C@H](CC(=O)N1CCC[C@H](C2OCCO2)C1)N1C(=O)c2ccccc2C1=C[N+](=O)[O-],MolMin,-0.80423325,11.324156
C=CCC(CC=C)NC(=O)C[C@H](NC(C)=O)C(=O)N1CCC2(CC1)C[C@H](OC)CCO2,MolMin,-1.6426256,10.58986
CCOC(=O)C1=C(C[C@H](C)N2CCC3(CC2)CO[C@H](C)C3)NC(=S)N[C@H]1c1ccco1,MolMin,-0.21255122,8.347589
CCOC(=O)[C@@H]1CC[C@@H]2C(=O)C(=O)N([C@@H](C)CCc3c(C)oc4ccccc34)C(=O)N2C1,MolMin,0.6031855,9.234069
CCOC(=O)[C@H](CCC(=O)N[C@@H](C)CC)NC(=O)[C@H](C)N1CCOC2(CCOCC2)C1,MolMin,-1.1010734,8.835902
C=CCC(CC=C)N1C(=O)N(C[C@@H](C)N2C[C@H]3COC[C@@H](C2)O3)C(=O)C12CCCC2,MolMin,-1.5641905,9.710506
COc1cc(S(=O)(=O)N2CCC3(CCN(C(=O)CCn4c(=O)oc5ccccc54)CC3)CC2)ccc1[N+](=O)[O-],MolMin,-1.5357065,11.294699
