SMILES,Molecular_Weight,ALogP,Num_H_Donors,Num_H_Acceptors,Num_RotatableBonds,Molecular_PolarSurfaceArea,Num_Atoms,Num_Rings,Num_AromaticRings,Molecular_SurfaceArea,Molecular_Solubility,QED,SA_Score,AlogP_Count,Lipinski,Veber
c1ccsc1,84.14,1.75,0,1,0,0.0,5,1,1,35.07,-1.2016,0.4489,3.5535,4,4,2
OC1CCCC1,86.13,0.92,1,1,0,20.23,6,1,0,37.99,-0.2569,0.4645,3.5276,4,4,2
FC(F)(F)c1ccccc1,146.11,2.71,0,0,0,0.0,10,1,1,56.29,-1.528,0.5275,3.5655,4,4,2
CCCCC1CCCCC1,140.27,3.76,0,0,3,0.0,10,1,0,65.02,-1.341,0.5597,3.6132,4,4,2
Cc1cccc(CCO)c1,136.19,1.53,1,1,2,20.23,10,1,1,61.32,-1.1725,0.6533,3.5897,4,4,2
COc1ccc(C(C)C)c(OC)c1,180.25,2.83,0,2,3,18.46,13,1,1,79.48,-1.6797,0.7117,3.6298,4,4,2
O=C(O)CC(=O)NCc1ccccc1,193.2,0.78,2,2,4,66.4,14,1,1,81.56,-1.2039,0.6942,3.6766,4,4,2
COc1ccc(C(=O)NC(C)=O)cc1,193.2,0.97,1,3,2,55.4,14,1,1,81.88,-1.2415,0.761,3.6591,4,4,2
Cc1ccc(C(=O)O)c2c1CCCN2,191.23,2.05,2,2,1,49.33,14,2,1,82.76,-1.5056,0.7139,3.6766,4,4,2
COC(=O)c1ccc2cnc(N)cc2c1,202.21,1.6,1,4,1,65.21,15,2,2,86.68,-1.6302,0.7132,3.7045,3,4,2
CC(C(=O)O)C(=O)NCc1ccccc1,207.23,1.02,2,2,4,66.4,15,1,1,87.92,-1.3296,0.7243,4.1051,4,4,2
CC1=CCc2c(cc(C)cc2C(=O)O)C1,202.25,2.74,1,1,1,37.3,15,2,1,89.25,-1.7306,0.7108,3.6883,4,4,2
CC12CCCC1(C)c1ccccc1CC2,200.32,4.08,0,0,0,0.0,15,3,1,92.7,-2.0628,0.5917,4.3811,4,4,2
COC(=O)c1ccc(CNC(N)=O)cc1,208.22,0.64,2,3,3,81.42,15,1,1,87.22,-1.2304,0.715,3.6883,4,4,2
