smiles,UMAP1,UMAP2
c1ccsc1,14.255796,8.055404
OC1CCCC1,13.569747,8.233299
FC(F)(F)c1ccccc1,14.099529,7.42398
CCCCC1CCCCC1,14.8874235,7.9799457
Cc1cccc(CCO)c1,14.537411,7.4720798
COc1ccc(C(C)C)c(OC)c1,14.336751,7.658538
O=C(O)CC(=O)NCc1ccccc1,14.463962,6.923259
COc1ccc(C(=O)NC(C)=O)cc1,13.627953,7.323659
Cc1ccc(C(=O)O)c2c1CCCN2,13.914258,7.421168
COC(=O)c1ccc2cnc(N)cc2c1,13.013501,7.957523
CC(C(=O)O)C(=O)NCc1ccccc1,14.492507,7.129302
CC1=CCc2c(cc(C)cc2C(=O)O)C1,13.459671,7.818763
CC12CCCC1(C)c1ccccc1CC2,14.260674,8.421895
COC(=O)c1ccc(CNC(N)=O)cc1,14.2075205,7.0069714
Cc1ccc(NC(C)C)c2ccc(F)cc12,14.760368,8.293623
CC(=O)Nc1ccc(C)c2cc(F)ccc12,14.845376,8.444709
O=C(O)C(CO)C(=O)NCc1ccccc1,14.535899,6.794102
CC(=O)NC(=O)c1cc2ccccc2cc1O,13.218897,7.22199
CCc1cc2ccccc2c2ccc(O)cc12,14.087406,7.86429
CNC(=O)c1cc(C2C=CC=C2)cc(O)c1O,13.285562,7.7770414
COC(=O)c1ccc2c(=O)n(C)c(=O)[nH]c2c1,13.869861,8.102404
COc1ccc(C(=O)NCC2=CC=NC2)cc1,13.313689,7.2566996
COc1c(O)cc(-c2ccccc2)cc1C(=O)O,12.849652,7.76353
CC(c1ccccc1)c1ccc(F)cc1C(=O)O,15.042373,7.4191537
CC(Cc1cccc(-c2ccccc2)c1)C(=O)O,13.895795,6.6908154
Cc1cc(CCO)cc(-c2ccc(O)cc2O)c1,13.539395,8.0607195
COc1ccc(CCC(=O)O)c(C2CCCC2)c1,14.882534,6.558396
CNC(C)c1ccccc1C(C)c1ccccc1,15.212945,7.598203
CC(O)c1cc(F)ccc1C(C)c1ccccc1,14.977296,7.7754927
O=C1CCC(=O)N(C2CCCc3ccccc32)C1,13.139074,8.493897
CC(c1ccccc1)c1ccc(F)cc1C(O)O,15.119479,7.526373
CCC1CC(C)(O)CC1NC1C=C(C)C=CC1O,14.403593,7.9251504
C1=NN=CC1Cc1cccc(-c2ccccc2)c1,13.825816,6.588547
Cc1cc(O)cc(Cc2cnc3ccsc3c2)c1,13.714132,8.170094
COC1=CC2C(O)=CN3C=C(O)C=CC3=C2C=C1,12.53347,7.023654
Cc1cc2c(c(-c3ccc(O)cc3O)c1)CCCC2,13.615996,8.587901
O=C(NC1CCCc2ccccc21)c1ccccc1,14.423645,9.211722
COc1cccc(C2CCCc3cc(C)ccc32)c1,14.057973,9.026953
Cc1ccc(C2CCCCN2C2CCCCC2)cc1,15.477782,7.9622827
O=C(O)C1CNc2c(F)cc(C(F)(F)F)c(F)c2N1,14.183445,7.7391334
CC=C(c1ccccc1)c1ccc(F)cc1C(=O)O,15.377683,6.3380485
COc1ccc(C(=O)NCc2ccccc2C)cc1,13.055779,7.414618
COc1c(O)cc(-c2ccccc2F)cc1C(=O)O,12.394348,7.5973077
COc1ccc(CN2CC(C(=O)O)=NCC2=O)cc1,13.651943,7.5042353
COc1ccc(CCC(=O)O)c(-c2ccccc2)c1,14.533365,6.031748
