SMILES,Molecular_Weight,ALogP,Num_H_Donors,Num_H_Acceptors,Num_RotatableBonds,Molecular_PolarSurfaceArea,Num_Atoms,Num_Rings,Num_AromaticRings,Molecular_SurfaceArea,Molecular_Solubility,QED,SA_Score,AlogP_Count,Lipinski,Veber
c1ccccc1,78.11,1.69,0,0,0,0.0,6,1,1,37.43,-1.1498,0.4426,3.5651,4,4,2
Cc1cccc(-c2ccncc2)c1,169.23,3.06,0,1,1,12.89,13,2,2,78.07,-2.0031,0.639,3.6852,4,4,2
COc1cccc(-c2ccccn2)c1,185.23,2.76,0,2,2,22.12,14,2,2,83.19,-1.978,0.7173,3.7104,4,4,2
C=CCCNC(=O)CCc1ccccc1,203.28,2.31,1,1,6,29.1,15,1,1,91.01,-1.6546,0.5576,3.7205,4,4,2
O=C(F)Oc1cccc(-c2ccccn2)c1,217.2,3.22,0,3,2,39.19,16,2,2,91.51,-2.2106,0.7248,3.7476,4,4,2
COc1c(C(=O)O)cccc1-c1ccnnc1,230.22,1.85,1,4,3,72.31,17,2,2,97.7,-1.9045,0.8706,3.761,4,4,2
CN1C=C(Cn2cnnn2)Cc2c(N)ncnc21,244.26,-0.38,1,8,2,98.64,18,3,2,103.14,-1.3306,0.7684,3.8027,5,4,2
CN(Cc1ccccc1)c1cccc2scnc12,254.36,3.93,0,3,3,16.13,18,3,3,110.52,-2.6866,0.7037,3.8157,4,4,2
CNC(=O)CCc1nc(=O)c2ccc(O)cc2o1,248.24,0.57,2,5,3,92.43,18,2,2,102.26,-1.5673,0.8281,3.7761,4,4,2
CN1C=C(Cn2cncn2)Cc2c(N)ncnc21,243.27,0.23,1,7,2,85.75,18,3,2,103.98,-1.4839,0.8121,3.8027,4,4,2
CN1CC2=CN(C)c3ncnc(N)c3C2=CC1=O,243.27,0.25,1,5,0,75.35,18,3,1,104.42,-1.2715,0.7065,3.7761,4,4,2
CN1CC2=CN(C)c3ncnc(N)c3C2CC1=O,245.29,0.34,1,5,0,75.35,18,3,1,105.11,-1.3071,0.7129,4.1929,4,4,2
OCCCC1=C(NNCc2ccccc2)CN=C1,245.33,1.39,3,4,7,56.65,18,2,1,107.41,-1.6234,0.6363,3.8157,4,4,2
CN1C=C2C(=O)NC(=O)CC2c2c(N)ncnc21,245.24,-0.48,2,6,0,101.21,18,3,1,102.7,-1.0928,0.5987,4.1929,5,4,2
CC(C)C1C(=O)C=CN(c2ccc[nH]c2=O)C1=O,246.27,1.08,1,3,2,70.24,18,2,1,104.12,-1.5182,0.7936,4.1792,4,4,2
CN1CCC(c2cncc(-c3cccc(O)c3)c2)CC1,268.36,3.26,1,3,2,36.36,20,3,2,119.45,-2.417,0.9079,3.8592,4,4,2
COc1ccc2c(c1)Cn1c(=O)nc(N)c3ncn-2c31,269.26,0.53,1,7,1,87.96,20,4,3,112.8,-1.8149,0.5444,3.8473,4,4,2
O=c1[nH]c2ccccc2c(=O)n1CCc1ccccc1,266.3,1.93,1,3,3,54.86,20,3,3,114.87,-2.2115,0.7872,3.8592,4,4,2
NC(=O)C1=CC(=Cc2cc(C(=O)O)c[nH]c2=O)C=CC1,272.26,0.83,3,3,3,113.25,20,2,1,113.48,-1.5902,0.7557,3.823,4,4,2
CCC(CC)NC(=O)C1=NC=C=C1Cc1ccccc1,268.36,3.03,1,2,6,41.46,20,2,1,119.67,-2.159,0.7916,3.8473,4,4,2
COc1ccc2[nH]c(=O)c(Cc3ccccc3)cc2c1,265.31,3.13,1,2,3,42.09,20,3,3,116.39,-2.5188,0.7902,3.8592,4,4,2
O=C1CC(=O)n2c(cc3ccc(C(=O)O)cc3c2=O)N1,272.22,0.68,2,5,1,105.47,20,3,2,110.99,-1.6868,0.7425,3.823,4,4,2
CCc1c(N)cccc1CNC(=O)Nc1ncccc1O,286.34,2.25,4,4,4,100.27,21,2,2,122.56,-2.2521,0.6475,3.8651,4,4,2
O=C1NC2CC(O)=CC=C2C(=O)N1CCc1ccccc1,284.31,1.92,2,3,3,69.64,21,3,1,122.12,-1.9364,0.8906,4.2934,4,4,2
O=C(CNc1cccc(C(=O)O)c1O)Nc1ccccc1,286.29,2.14,4,4,5,98.66,21,2,2,120.59,-2.2291,0.6311,3.8651,4,4,2
COc1cccc(NCC(=O)NC(=O)C2=CC=CC2O)c1,288.3,0.61,3,5,5,87.66,21,2,1,121.66,-1.6304,0.7385,4.2819,4,4,2
CC(O)c1cccc(NCC(=O)NC2C=CC=CC2)c1O,288.35,1.86,4,4,5,81.59,21,2,1,123.55,-1.957,0.6234,4.5257,4,4,2
COc1cc(F)c2c(c1)Cn1c(=O)nc(N)c3ncn-2c31,287.25,0.67,1,7,1,87.96,21,4,3,116.96,-1.9329,0.5558,3.8651,4,4,2
COc1ccc2c(c1)CN(C(=O)C1CCN(C)C1)C(=O)N2,289.33,1.52,1,4,2,61.88,21,3,1,123.21,-1.8561,0.8965,4.2819,4,4,2
O=C(O)c1ccc2cc(Cc3ccccc3)cc(O)c2c1,278.31,3.83,2,2,3,57.53,21,3,3,121.65,-2.7513,0.7651,3.8766,4,4,2
O=C(O)c1cccc(C2=NCN=C(c3ccccc3)N2)c1,279.3,2.14,2,4,3,74.05,21,3,2,121.24,-2.1752,0.9036,3.8878,4,4,2
Cc1cccc2cnc(CC(=O)NCC3=CC=CCC3)nc12,293.37,2.87,1,3,4,54.88,22,3,2,129.53,-2.3697,0.9427,3.9168,4,4,2
Cc1ccc2cnc(CC(=O)NCC3=CC=CCC3)nc2c1,293.37,2.87,1,3,4,54.88,22,3,2,129.53,-2.3697,0.9427,3.9168,4,4,2
Cc1cccc2cc(-c3ccccc3)c3c(O)[nH]c(=O)n3c12,290.32,3.46,2,3,1,57.5,22,4,4,125.83,-2.7901,0.5638,3.906,4,4,2
COc1cccc(-c2ncnc(CCc3ccn(C)c3)n2)c1,294.36,2.67,0,5,5,52.83,22,3,3,129.2,-2.5648,0.7257,3.9168,4,4,2
