smiles,UMAP1,UMAP2
c1ccccc1,25.986662,14.850188
Cc1cccc(-c2ccncc2)c1,25.31297,14.439089
COc1cccc(-c2ccccn2)c1,26.178005,14.212534
C=CCCNC(=O)CCc1ccccc1,26.44846,14.057158
O=C(F)Oc1cccc(-c2ccccn2)c1,26.056484,13.775974
COc1c(C(=O)O)cccc1-c1ccnnc1,24.8808,14.391565
CN1C=C(Cn2cnnn2)Cc2c(N)ncnc21,25.83124,14.968081
CN(Cc1ccccc1)c1cccc2scnc12,26.201319,14.747447
CNC(=O)CCc1nc(=O)c2ccc(O)cc2o1,25.554296,13.975251
CN1C=C(Cn2cncn2)Cc2c(N)ncnc21,26.02756,15.126362
CN1CC2=CN(C)c3ncnc(N)c3C2=CC1=O,25.62786,15.271221
CN1CC2=CN(C)c3ncnc(N)c3C2CC1=O,25.956808,15.194878
OCCCC1=C(NNCc2ccccc2)CN=C1,25.023762,15.435951
CN1C=C2C(=O)NC(=O)CC2c2c(N)ncnc21,25.939695,15.444072
CC(C)C1C(=O)C=CN(c2ccc[nH]c2=O)C1=O,25.373468,14.403814
CN1CCC(c2cncc(-c3cccc(O)c3)c2)CC1,26.095581,14.3325815
COc1ccc2c(c1)Cn1c(=O)nc(N)c3ncn-2c31,26.248484,13.538737
O=c1[nH]c2ccccc2c(=O)n1CCc1ccccc1,26.573492,14.336314
NC(=O)C1=CC(=Cc2cc(C(=O)O)c[nH]c2=O)C=CC1,24.338884,14.295879
CCC(CC)NC(=O)C1=NC=C=C1Cc1ccccc1,24.522675,14.740268
COc1ccc2[nH]c(=O)c(Cc3ccccc3)cc2c1,25.23481,13.892739
O=C1CC(=O)n2c(cc3ccc(C(=O)O)cc3c2=O)N1,24.765839,14.895658
CCc1c(N)cccc1CNC(=O)Nc1ncccc1O,25.722383,14.6343
O=C1NC2CC(O)=CC=C2C(=O)N1CCc1ccccc1,24.706879,14.801414
O=C(CNc1cccc(C(=O)O)c1O)Nc1ccccc1,25.787376,14.379583
COc1cccc(NCC(=O)NC(=O)C2=CC=CC2O)c1,25.06278,15.550383
CC(O)c1cccc(NCC(=O)NC2C=CC=CC2)c1O,25.407217,13.334427
COc1cc(F)c2c(c1)Cn1c(=O)nc(N)c3ncn-2c31,26.05157,13.390573
COc1ccc2c(c1)CN(C(=O)C1CCN(C)C1)C(=O)N2,27.451174,14.402652
O=C(O)c1ccc2cc(Cc3ccccc3)cc(O)c2c1,24.975517,14.493487
O=C(O)c1cccc(C2=NCN=C(c3ccccc3)N2)c1,24.551268,14.01569
Cc1cccc2cnc(CC(=O)NCC3=CC=CCC3)nc12,23.925905,14.602203
Cc1ccc2cnc(CC(=O)NCC3=CC=CCC3)nc2c1,23.986921,14.594003
Cc1cccc2cc(-c3ccccc3)c3c(O)[nH]c(=O)n3c12,26.50257,15.211817
COc1cccc(-c2ncnc(CCc3ccn(C)c3)n2)c1,25.626667,13.122781
COc1cc(O)c2c(=O)n(C(=O)CCC(N)=O)c(=O)[nH]c2c1,25.693563,15.024163
COc1cc(F)c2c(c1)c1ccc3nc(N)c4ncn2c4n31,25.67623,15.681231
C=Cc1ccccc1CC1=C=CN=C1C(=O)NCCC(N)=O,24.241005,13.744518
CCOc1cc2c3c(nc4cc(C)c(O)cc4c3c1)N=C=C2,25.347725,14.142626
COc1cccc(-c2ncnc(CCc3ccccc3)n2)c1,25.766344,13.302769
NC1=CC(=Cc2cc(C(=O)O)c[nH]c2=O)C(=O)C=C1C(=O)O,24.282776,14.316442
CN(Cc1ccccc1)N1Cc2ccccc2C2=C1CN=C2,24.644646,15.075514
COC(=O)CCCN1C(=O)N=C2CC(O)=C(C(=O)O)C=C2C1=O,26.328312,14.588907
Cc1ccnc2[nH]c(=O)n(C3C=C4C=CC(C(=O)O)=CC4O3)c12,27.032923,15.82763
COc1ccc2c(c1)CN(C(=O)C1CCN(C(N)=O)C1)C(=O)N2,27.639122,14.511532
NC1=C2C(=O)C=C(C(=O)O)C=C2CN(CCc2nccs2)C1=O,26.826431,14.429126
COc1cccc2c3c4c(cc12)CC1CCN(C)C1N=C4NN3,27.251863,13.999841
NC1=C2C(=O)C=C(CO)C=C2CN(CCc2ccccc2)C1=O,27.094412,14.670083
Cc1ccc2c(c1)CC(=O)n1c(C)c(-c3ccccc3)c(C)c1-2,26.238016,14.127851
O=c1[nH]c2ncc3c(c2n1C1C=C2C=CC=CC2O1)CCCC3,27.376614,15.6959
COc1cccc(NC(=O)CNc2cccc(C(=O)O)c2O)c1,25.177364,15.248672
Cc1cccc2cc(-c3ccccc3F)c3c(O)[nH]c(=O)n3c12,26.47964,15.698207
COc1ccc2c(c1)CN(C(=O)C1CCN(C(=O)O)C1)C(=O)N2,27.80559,14.355129
CCOC1=C(C)C=C(C)CC1C1=C=CN=C1C(=O)NCC(=O)O,25.04401,13.412666
O=c1[nH]c2ncc3c(c2n1C1C=C2C=CCC=C2O1)CCCC3,27.602345,15.650428
CCc1cnc(C)cc1CC1=C=CN=C1C(=O)NCCC(N)=O,24.10187,13.624669
COc1cccc(-c2ncnc(CCc3ccc(O)cc3)n2)c1,25.78401,13.077174
Cc1nccc2c1Cc1c(ccc(Cc3ccccc3)c1C)N2,24.992373,13.81731
CCc1cccc2c1cc(O)c1c(=O)n(CCCC(=O)O)ccc12,25.205816,14.691451
O=C(CNc1cccc(-c2ccccc2)c1O)NC1C=CC=CC1,25.228102,13.078272
CC1=CC2=CC(=O)n3cc(-c4ccccc4)c4c3C2C(=C1)CNC4,26.83841,15.3066
Cc1c(Cc2ccccc2)cccc1Cc1cccnc1CCN,25.46094,13.791634
COc1cccc(CNc2n[nH]c3cc(C4=NN=CC4)cnc23)c1,26.679123,12.227797
CNC(=O)CCn1ccc2c(c1=O)N=CC2C1=C(C=O)C=NC1=O,25.611628,14.641664
COc1cccc(CNc2n[nH]c3cc(-c4cn[nH]n4)cnc23)c1,26.554972,12.299541
COc1cccc(CNc2n[nH]c3cc(-c4cc[nH]n4)cnc23)c1,26.369356,12.490197
CC(C)c1cccc2c3c4c(cc12)CC1CC(N)CC1N=C4NN3,27.297684,13.47712
CCc1cccc2c1cc(O)c1c(=O)n(CCCC(N)=O)ccc12,25.5675,14.294016
COCc1ccc2[nH]c(=O)c3cc(CN(C)C(C)=O)ccc3c2c1,24.111963,15.33586
NC1=C2C(=O)C3=C(C=C2CN(CCC2CCNC2)C1=O)CC=CC3,26.911884,14.779984
