SMILES,Molecular_Weight,ALogP,Num_H_Donors,Num_H_Acceptors,Num_RotatableBonds,Molecular_PolarSurfaceArea,Num_Atoms,Num_Rings,Num_AromaticRings,Molecular_SurfaceArea,Molecular_Solubility,QED,SA_Score,AlogP_Count,Lipinski,Veber
O=C(O)c1ccccc1,122.12,1.38,1,1,1,37.3,9,1,1,52.75,-1.0922,0.6106,3.5644,4,4,2
NC(=O)c1cc(F)ccn1,140.12,0.32,1,2,1,55.98,10,1,1,56.68,-0.8742,0.6102,3.5655,4,4,2
O=C(O)C(O)c1ccccc1,152.15,0.8,2,2,2,57.53,11,1,1,63.91,-1.0373,0.6587,4.0101,3,4,2
CNC(=O)C(O)c1ccccc1,165.19,0.47,2,2,2,49.33,12,1,1,71.03,-0.9958,0.6687,4.0379,4,4,2
CC(=O)NCc1ccc(F)cc1,167.18,1.46,1,1,2,29.1,12,1,1,70.4,-1.2661,0.7095,3.621,4,4,2
CC(=O)NC(N)c1ccccc1,164.21,0.78,2,2,2,55.12,12,1,1,71.58,-1.0708,0.6345,4.0379,4,4,2
CC(C)CNCc1ccc(F)cc1,181.25,2.57,1,1,4,12.03,13,1,1,78.97,-1.6238,0.7524,3.6488,4,4,2
CC1NC(=O)C(c2ccccc2)O1,177.2,1.22,1,2,1,38.33,13,2,1,76.71,-1.2292,0.7,4.3279,4,4,2
Cc1cc2c(cc1F)C(=O)C=CC2=O,190.17,2.07,0,2,0,34.14,14,2,1,80.05,-1.4984,0.6271,3.6591,4,4,2
Cc1cc2c(cc1F)CC(=O)NC2=O,193.18,0.95,1,2,0,46.17,14,2,1,79.92,-1.2242,0.6233,3.6591,4,4,2
Nc1nc(N)c2cccc(C(=O)O)c2n1,204.19,0.49,3,5,1,115.12,15,2,2,84.55,-1.3524,0.6223,3.6883,4,4,2
CC1=NC(=O)c2cc(F)c(C)cc2C1=O,205.19,1.93,0,2,0,46.5,15,2,1,85.63,-1.5309,0.6492,3.6716,4,4,2
Cc1cc2c(c(N)n1)CN=C(CO)C2=O,205.22,0.1,2,5,1,88.57,15,2,1,86.66,-1.0594,0.6802,3.6883,3,4,2
COc1cc2c(cc1F)C(=O)C=CC2=O,206.17,1.77,0,3,1,43.37,15,2,1,85.16,-1.501,0.7028,3.6883,4,4,2
