smiles,UMAP1,UMAP2
O=C(O)c1ccccc1,8.0787115,1.9632521
NC(=O)c1cc(F)ccn1,6.6032205,2.315373
O=C(O)C(O)c1ccccc1,7.176146,1.1758416
CNC(=O)C(O)c1ccccc1,8.2095995,1.4104346
CC(=O)NCc1ccc(F)cc1,7.124678,2.781322
CC(=O)NC(N)c1ccccc1,7.187259,1.4492015
CC(C)CNCc1ccc(F)cc1,7.3097057,2.758703
CC1NC(=O)C(c2ccccc2)O1,6.996133,1.2383419
Cc1cc2c(cc1F)C(=O)C=CC2=O,7.7315917,2.1038287
Cc1cc2c(cc1F)CC(=O)NC2=O,7.6658072,1.9831067
Nc1nc(N)c2cccc(C(=O)O)c2n1,6.380487,1.8321755
CC1=NC(=O)c2cc(F)c(C)cc2C1=O,7.961989,2.2802594
Cc1cc2c(c(N)n1)CN=C(CO)C2=O,6.3997865,2.0969048
COc1cc2c(cc1F)C(=O)C=CC2=O,7.832464,1.233034
Cn1c(=O)c2c(=O)[nH]c(=O)[nH]c2n(C)c1=O,7.8395686,0.685728
O=C(Nc1ccccc1O)c1ccccc1,6.8905306,2.5242043
CC(C)CNC1=NCc2cccc(=O)n2C1,5.8106937,1.7630153
Cc1[nH]c(C(N)=O)nc1C1CNCC(C)C1,7.9192266,1.3604174
O=C(O)C1Cn2c(nccc2=O)CC1CO,6.6759605,0.3016131
CCC1=NC(=O)c2cc(F)c(C)cc2C1=O,8.010204,2.3510256
NCc1nc(N)nc2c(C(=O)O)cccc12,6.667249,2.103474
COc1ccc(C(=O)O)c2c1C(C)(C)C(=O)N2,7.576225,2.4613705
CCCNC(=O)c1cc([N+](=O)[O-])ccc1OC,8.751497,2.090623
Cc1cnc(-c2cncc(C(N)=O)c2)n(C)c1=O,7.555988,1.9255646
NC(=O)c1nnc2cc3[nH]c(=O)[nH]c(=O)c3cn12,8.01357,1.7313061
O=c1ncnc2c3ccccc3n3c(c1-2)C=C=N3,5.7729316,2.8650918
COc1cc2c(=O)[nH]c3ccccc3c2cc1F,7.910585,1.9745055
CC1(C)CC(N)C2Cc3nccc(=O)n3CC2C1,6.879805,-0.0025905005
CCCC(=O)NC1=NCc2nc(C)cc(=O)n2C1,6.0077143,0.8113537
Cc1cc2c(cc1F)C=C=C(C1=CCC=C1)C2=O,7.890954,1.8160292
Cc1cc(=O)n2c(n1)CN=C(NC(=O)C(C)C)C2,5.9677143,0.76561093
O=c1cccc2n1CC(Nc1ccccc1)=NC2,5.8796744,1.8824633
CC1C(=O)NC=C1C1=C2C=NC=C2C(=O)NC1=O,6.8225904,0.93153214
Cc1nc(=O)c2c(OCC=N)ccc(C(=O)O)c2[nH]1,6.4999437,1.1470387
O=c1cccc2n1CC(Nc1ccccc1Cl)=NC2,5.9993906,1.6703974
CCc1cc(F)cc(C(=O)NCc2ccccc2)c1,6.634383,2.8578331
NC1CC(C(=O)O)CC2Cn3c(nccc3=O)CC12,6.5840673,-0.041448526
NC(=O)c1cccc2c1oc1c(C(=O)O)cccc12,6.9493146,2.5570846
NC1CC(C(O)O)CC2Cn3c(nccc3=O)CC12,6.916718,-0.110333286
CC(C(=O)NC1=NCc2cccc(=O)n2C1)=C(N)O,5.7838397,1.4798074
Cc1cc2n(c(=O)c1)CC(N(C)CC(F)(F)F)=NC2,6.3045764,2.138288
O=C(O)CNC(=O)c1nn2c(=O)cccc2[nH]c1=O,6.709254,2.4291003
O=C(O)CCNc1cc(F)cc(-c2ccccc2)c1,6.281156,3.0566359
Cc1cc2c(cc1F)C=C=C(c1ccccc1)C2=O,8.161775,1.6997182
Cc1cc2n(c(=O)c1)CC(NC1CCCCC1O)=NC2,6.2145247,1.5669605
COC(=O)C1Cc2nc3ccccc3c(=O)n2CC1O,7.172449,0.4467832
CC1CC(CO)CN(c2cc(F)cc(N(C)O)c2)C1=O,7.725652,0.17600359
O=c1cccc2n1CC(Nc1c(O)cccc1Cl)=NC2,6.0363517,1.3177959
O=C(O)Oc1cccc(Oc2cccc(C(=O)O)c2)c1,8.491537,2.3363116
CC(O)=CCCOc1cc2c(cc1F)C(=O)C=CC2=O,7.594247,1.3232479
COc1ccc([N+](=O)[O-])cc1C(=O)Nc1ccccc1,8.888526,1.9636903
O=c1c2ccccc2nc2n1CC(O)C(C(F)(F)F)C2,6.688451,0.58448005
O=C1NC(=O)C(C2=CNC(=O)C2C(F)(F)F)=C2C=NC=C12,6.767669,0.8177169
Cc1cc(O)c(NC2=NCc3cccc(=O)n3C2)c(Cl)c1,6.172052,1.1901864
CN1C(=O)CC(c2oc3ccccc3c2C(=O)O)NC1=O,8.566912,0.8760633
CN1CC2C3=CC(=O)c4cccc(c43)C(=O)N2CCC1=O,6.9988956,1.1144936
O=C(O)c1c(C(F)(F)F)n(Cc2ccc(O)cc2)[nH]c1=O,7.316082,1.6729022
CCCC(=O)Nc1cc(F)cc(CCNc2ccco2)c1,7.1486316,2.4752188
O=C(O)c1ccc2c(c1)c1ncnc(=O)c-1c1n2N=C=C1,5.71594,2.801115
COc1ccc(-c2cc(F)cc(NCCC(=O)O)c2)cc1,6.097014,3.196308
Cc1nc(=O)c2c(OCCCCO)ccc(C(=O)O)c2[nH]1,6.436205,1.0433747
CC1CC(C(=O)O)CN(c2cc(F)cc(N(C)O)c2)C1=O,7.819449,0.134803
COc1cc2ccoc(=O)c2cc1Nc1ccccc1F,7.9229655,1.6153266
CC1=Cc2[nH]c(C(N)=O)nc2C2CCC(C(=O)O)NC2N1,6.0408187,2.0421224
O=c1cccc2n1CC(Nc1c(O)cc(F)cc1Cl)=NC2,5.7564588,1.1318421
O=c1cccc2n1CC(Nc1c(O)cc(Cl)cc1Cl)=NC2,5.9533877,1.3872557
O=C1CC2c3nc4ccccc4c(=O)n3CC(O)C2C1(F)F,6.3094635,0.30541024
NC1CC(C(O)OCCO)CC2Cn3c(nccc3=O)CC12,6.6265783,-0.3692945
O=c1c2ccccc2nc2n1CC(O)C1C2CC(O)C1(F)F,6.1048346,0.30332872
OCc1cc(Oc2c(F)cc3ccccc3c2O)ccc1O,8.187289,3.003621
O=C(O)c1cccc(Oc2c(F)cc3ccccc3c2O)c1,8.140292,2.7437887
COc1cc(Oc2c(F)cc3ccccc3c2O)ccc1O,7.8507347,3.1466513
CNC(=O)C(=O)NCC(NC)c1cc(OC)c(F)c(F)c1F,7.09412,3.3215282
CN(O)c1cc(F)cc(N2CC(CN)CN=C2CC(N)=O)c1,7.6483746,0.037376698
CN1C(=O)CCN2C(=O)c3cccc4c3C3=C(CC1C32)C4O,7.1044736,2.2208712
COc1ccc(C(=O)O)c2ncn(CCNC(=O)C(=O)O)c12,8.637539,1.8531712
COc1ccc(C(=O)O)c2nc3n(c12)C(O)C(O)C(C)(O)C3,6.742548,1.977562
C=C1CNC(C(O)CC)=C2C(=O)c3cnc(N)cc3N2C1=O,7.434172,2.2213824
N=C1NNC(=O)C1NC(=O)Oc1cc2ccccc2cc1F,7.608443,3.5432403
CC(C)Nc1ccc2c(c1)c1ncnc(=O)c-1c1n2N=C=C1,5.814718,2.687553
O=C(O)C1CCN(c2cc(F)cc(-c3ccc(F)cc3)c2)C1,5.219863,2.6019745
CC=C1CCC(C(=O)OC)N(c2cc(F)cc(N(C)O)c2)C1,7.6639624,0.6519222
O=C(O)c1ccc2oc3c(C(=O)O)c(O)c(C(=O)O)cc3c2c1,6.5730352,3.4882598
CC1C(=O)C(C(=O)O)=C(O)C1NC1=NCc2cccc(=O)n2C1,5.6263723,1.5200483
Cc1ccc2c(c1)C=C(N)C1=NC=C(C(=O)N3CCCCC3)C12,6.4729095,1.6904114
COc1cc(OCC(=O)O)cc(Oc2cccc(C(=O)O)c2)c1,8.477747,2.590727
CC(F)=Cc1ccccc1NCNC(=O)c1csc2nc[nH]c12,6.9534583,1.8489217
O=C(O)C1CN(c2cc(F)cc(-c3ccc(F)cc3)c2)CCN1,5.1175995,2.5331173
O=C(O)CCOCC1Cc2nc3ccccc3c(=O)n2CC1O,6.9504633,0.55203027
O=C1C(O)C2c3nc4ccccc4c(=O)n3CC(O)C2C1(F)F,6.3064656,0.427083
COc1cc(O)ccc1Cn1[nH]c(=O)c(C(=O)O)c1C(F)(F)F,7.387847,1.7580832
CN1NC(=O)C(NC(=O)Oc2cc3ccccc3cc2F)C1=O,7.565261,3.5071278
COC(C)c1cccc(Oc2c(F)cc3ccccc3c2O)c1,8.376881,3.0549822
O=C(O)C1CCCN(c2cc(F)cc(-c3ccc(F)cc3)c2)C1,5.2881985,2.5466335
C=C1CNC(OCC(C)C)C2C(=O)c3cnc(N)cc3N2C1=O,5.1140785,1.2250268
COc1cccc2c(C(=O)O)c(C3CC(=O)N(C)C(=O)N3)oc12,8.424719,0.8208479
Cn1nc(N2CNC(C(=O)O)=C2C(F)(F)F)c2ccc(O)cc21,5.5765896,0.8554373
O=C(O)c1cc(Oc2c(F)cc3ccccc3c2O)ccc1O,7.561225,3.1760108
Cc1c(O)cc(OC(C)(C(=O)NCC(C)C)C(F)(F)F)c(O)c1O,7.5754533,1.4136066
Cc1cc(-c2cccc(N)c2)n(-c2cc(CO)c(F)c(F)c2F)n1,8.993115,3.103655
CNC(CNC(=O)C1C=CN=C1O)c1cc(OC)c(F)c(F)c1F,7.205859,3.3823514
C=C1CNC(OCCOCC)C2C(=O)c3cnc(N)cc3N2C1=O,5.1538672,1.320423
Cc1cc(C(=O)O)cnc1OC1=C2CC=NC=C2CC(C(C)N)=C1,7.293617,2.095167
O=C1NCC(Oc2c(F)cc3ccncc3c2O)c2ccccc21,7.769841,2.7017138
CN1C=CC(NC(=O)NCc2cc(F)cc(-c3ccccc3)c2)N1,6.10097,2.5964599
Cn1ccc(NC(=O)NCc2cc(F)cc(-c3ccccc3)c2)n1,6.3178935,2.7892468
Oc1c(Oc2ccccc2C2=NN=CC2)c(F)cc2ccccc12,8.089374,3.3682153
O=c1[nH]cc(Oc2c(F)cc3ccncc3c2O)c2ccccc12,8.196225,2.7650707
CCc1cc(F)cc(C(=O)NCc2c(CN)csc2NC(C)=O)c1,6.869916,3.100025
C=CCNc1ccc(F)cc1NC(=O)C1=CN=C2C1=C=CC=C2N,7.4148955,2.562076
CC(F)=Cc1ccccc1NCNC(=O)c1coc2cncnc12,7.1720986,2.0018616
Oc1c(Oc2cccc(C3CCCO3)c2)c(F)cc2ccccc12,8.172245,3.0391746
CC1CC(O)CC1NC(=O)c1nc(-c2ccccc2)[nH]c(=O)c1N,5.374645,1.9346613
COc1cccc2c(C(=O)O)c(-c3cc4c(O)cccc4[nH]3)oc12,8.032289,1.0232697
O=C(O)c1cc(Oc2c(F)cc3ccccc3c2O)c(F)cc1O,8.111379,3.4199798
CC=Cc1cc2c(oc3ccc(C(=O)O)c(O)c32)c(C(=O)O)c1O,6.7455444,3.708631
CC(F)=Cc1ccccc1NCNC(=O)C1=CC(=O)c2cn[nH]c21,7.4691725,1.0315403
Cc1cccc(-c2cc(C)nn2-c2cc(CO)c(F)c(F)c2F)c1,9.048692,3.1753392
Cc1nc(C2=C=NN=C2)nc(-c2cc(F)c3cccc(O)c3c2)n1,6.883303,1.4719347
CC(F)=Cc1ccccc1NCNC(=O)C1=CN=C2CN=CC=C12,8.455562,1.8241001
O=C(O)c1cc2c(oc3ccc(C(=O)O)c(O)c32)c(C(=O)O)c1O,6.6550837,3.7259912
CN1C(=O)NC(c2oc3ccccc3c2C(=O)O)C2=C1C(=O)N=C2,8.669365,1.0515656
C=CNC=CC1=NC2C(C(=O)N3CCCC3(C)C)=CN=C2C(N)=C1,7.3756785,0.91340065
CCc1cc(F)cc(C(=O)NCc2c(CN)coc2NC(C)=O)c1,6.8342767,3.0707676
CC(F)=Cc1ccccc1NCNC(=O)c1csc2c1NC(N)=[SH]2,6.9544206,1.7905877
