smiles,tool
CCS(=O)(=O)N1CC(C1)(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,input
CCS(=O)(=O)N1CC(CC#N)(c2ccc(C(F)(F)F)cc2)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(c2cccc(C(F)(F)F)c2)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(c2ccc(C(F)(F)F)cc2)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(c2ccccc2C(F)(F)F)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(c2ccc(C(F)(F)F)cc2)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(c2ccc(C(F)(F)F)cc2)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(c2ccc(C(F)(F)F)cc2)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(c2ccc(C(F)(F)F)cc2)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(NC(=O)c2ccccc2Br)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(OC(=O)c2ccccc2O)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(C(=O)Cc2ccc(Cl)s2)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(C(=O)Cc2ccc(Cl)s2)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(C(=O)Cc2ccc(Cl)s2)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(NC(=O)CCC(F)(F)F)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(NC(=O)CCC(F)(F)F)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(OC(=O)c2ccccc2Cl)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(NC(=O)CCC(C)(F)F)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(OC(=O)c2ncccc2Cl)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(OC(=O)c2ccccc2Br)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(OC(=O)c2ccccc2Br)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC(F)(F)F)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC(F)(F)F)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC(F)(F)F)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC(F)(F)F)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC(F)(F)F)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC(F)(F)F)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC(F)(F)F)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(C(=O)C(=O)N2CCCCC2)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC(C)(F)F)C1,GenMol
CCS(=O)(=O)N1CC(CC#N)(OC(=O)C2CCCCCC2)C1,GenMol
Cc1c2c#c[nH]cc-2c(C)c1N1CCN(S(=O)(=O)NC(C)C)CC1,MolMin
N#Cc1ncoc1Nc1ccc2c(c1)C1=NS(=O)(=O)NC1=CC=C2,MolMin
CN(C)CCN(C)S(=O)(=O)n1cc(Cl)c2ccc(Cl)c-2c1,MolMin
CC(C)(C#N)N1CCN(C(=O)C2=CNC3=CC=CSC3=N2)CC1,MolMin
CC(C)N1CCN(S(=O)(=O)c2ccc3c(c2)C2(CCN(C)CC2)C(=O)N3)CC1,MolMin
CC1(C)N(c2ncccn2)CC12CCN(S(C)(=O)=O)CC2,MolMin
CC(C)n1c(N)c(C#N)c2cc(=O)cccc21,MolMin
CN(C)S(=O)(=O)N1CCC(N2C=Cc3ccnn3CC2)CC1,MolMin
C#CCN(C)S(=O)(=O)N1CCn2cc3[nH]c(=O)cc-3cc2C1,MolMin
CC(C)CN1CC2(CCN(C(=O)C3=CNNC=C3)C2)C1,MolMin
N#Cc1cnc(N2CCC3(C=Cc4ccccc4S(=O)(=O)N3)CC2)c(Cl)c1,MolMin
CC(C)N1C(=O)[C@@]2(C)C(=CC=CN2S(=O)(=O)N2CCCC2)N=C1N,MolMin
CSCCN1N=C2C(=C(C)C(C)(C)C(C)(C)C2(C)C)S1(=O)=O,MolMin
CS(=O)(=O)N1CCC2(CC1)CN(C(=O)C1=CNN3C=CS[C]13)C2,MolMin
CC(C)NS(=O)(=O)c1cc(NC2=Nc3cccn3S2(=O)=O)c(Cl)cc1Cl,MolMin
CC1=C(N)NC(=O)C12CCN(S(=O)(=O)N1CCC(C)(C)CC1)CC2,MolMin
CS(=O)(=O)N1CCC2(CC1)C(=O)NC=C1C=CC=CN12,MolMin
C=CCN1C(C)=C(C#N)C2(CCN(S(C)(=O)=O)CC2)C1(C)C,MolMin
O=S(=O)(O)C1=C2C=C3C=CC=C(C3)N=C2N(S(=O)(=O)N2CCCC2)CC1,MolMin
CN1C=CN2C=CC3(CCN(S(C)(=O)=O)CC3)C(C#N)=C12,MolMin
CS(=O)(=O)N1C=C2C(C#N)=CC(Cl)=CN2CC1,MolMin
C=C(Cl)Cn1c(C2=C(C#N)C(=O)C=C2Cl)nnc1N1CCN(S(N)(=O)=O)CC1,MolMin
CCNS(=O)(=O)c1cccc(NN=C2C(=O)CC3=CNCC3=C2C#N)c1,MolMin
CSC(C)(C)Cn1c(C2CCN(S(C)(=O)=O)CC2)nnc1N1CCC2=C(CCC(=O)N2)C1,MolMin
C#CCN1CCN(C(N)=C2C=C3C(=O)NCC3=C2C#N)CC1,MolMin
CC1(C)C(N)=C(C#N)C2=NS(=O)(=O)CC=C2N1C(=O)N1CCSCC1,MolMin
N#CC(=C1CC=CC=C2NC(=O)N=C21)N1CCN(S(N)(=O)=O)CC1,MolMin
CC(C)(CN1C(=O)C(C#N)=C2C=CC=CC1=CN2)NS(N)(=O)=O,MolMin
CN1CCN(C2CCN(C(=O)C3=CN4CCS(=O)(=O)N=C4N3)CC2)CC1,MolMin
CC(C)(C(=O)N1CCN(S(C)(=O)=O)CC1)N1NC(=S)NC2=C(CCCC2)C1=O,MolMin
CCS(=O)(=O)N1CC(C)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark
CCS(=O)(=O)N1CCC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)CC1,MolSpark
CCS(=O)(=O)N1CC(F)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark
CCCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark
CC(C)(C)S(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark
CCS(=O)(=O)N1CC(n2cc(-c3ncnc4[nH]ccc34)cn2)(C(F)(F)F)C1,MolSpark
CCS(=O)(=O)N1CC(CC(F)(F)F)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark
CS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark
CCS(=O)(=O)N1CC(n2cc(-c3ncnc4[nH]ccc34)cn2)(S(C)(=O)=O)C1,MolSpark
CN(C)S(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark
CCS(=O)(=O)N1CCC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark
CCS(=O)(=O)N1CC(Cn2ccnc2)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark
CCCS(=O)(=O)N1CC(C)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark
CCS(=O)(=O)N1CCC(C)(n2cc(-c3ncnc4[nH]ccc34)cn2)CC1,MolSpark
CC(C)CS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark
CCS(=O)(=O)N1CC(C#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark
CCS(=O)(=O)N1CC(CC(N)=O)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark
CCS(=O)(=O)N1CCC(C)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark
CCS(=O)(=O)N1CC(CCN(C)C)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark
CCC(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark
CCCS(=O)(=O)N1CCC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)CC1,MolSpark
CCS(=O)(=O)N1CC(CN2CCCC2)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark
CC(C)(C)CS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark
CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(S(C)(=O)=O)C1,MolSpark
CCS(=O)(=O)N1CC(CN(C)C)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark
CCS(=O)(=O)N1CC(CN)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark
CCS(=O)(=O)N1CC(CF)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark
CCN(CC)S(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark
CCS(=O)(=O)N1CC(CO)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark
CCS(=O)(=O)N1CC(F)(F)C(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark
