smiles,tool,tSNE1,tSNE2
CCS(=O)(=O)N1CC(C1)(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,input,134.35365,-39.50051
CCS(=O)(=O)N1CC(CC#N)(c2ccc(C(F)(F)F)cc2)C1,GenMol,-10.714736,50.69344
CCS(=O)(=O)N1CC(CC#N)(c2cccc(C(F)(F)F)c2)C1,GenMol,-210.85536,134.89723
CCS(=O)(=O)N1CC(CC#N)(c2ccc(C(F)(F)F)cc2)C1,GenMol,-10.714736,50.69344
CCS(=O)(=O)N1CC(CC#N)(c2ccccc2C(F)(F)F)C1,GenMol,-24.501497,-79.04796
CCS(=O)(=O)N1CC(CC#N)(c2ccc(C(F)(F)F)cc2)C1,GenMol,-10.714736,50.69344
CCS(=O)(=O)N1CC(CC#N)(c2ccc(C(F)(F)F)cc2)C1,GenMol,-10.714736,50.69344
CCS(=O)(=O)N1CC(CC#N)(c2ccc(C(F)(F)F)cc2)C1,GenMol,-10.714736,50.69344
CCS(=O)(=O)N1CC(CC#N)(c2ccc(C(F)(F)F)cc2)C1,GenMol,-10.714736,50.69344
CCS(=O)(=O)N1CC(CC#N)(NC(=O)c2ccccc2Br)C1,GenMol,-252.8652,11.942389
CCS(=O)(=O)N1CC(CC#N)(OC(=O)c2ccccc2O)C1,GenMol,-82.86907,94.634575
CCS(=O)(=O)N1CC(CC#N)(C(=O)Cc2ccc(Cl)s2)C1,GenMol,-72.94513,-225.37442
CCS(=O)(=O)N1CC(CC#N)(C(=O)Cc2ccc(Cl)s2)C1,GenMol,-72.94513,-225.37442
CCS(=O)(=O)N1CC(CC#N)(C(=O)Cc2ccc(Cl)s2)C1,GenMol,-72.94513,-225.37442
CCS(=O)(=O)N1CC(CC#N)(NC(=O)CCC(F)(F)F)C1,GenMol,-189.26176,46.825325
CCS(=O)(=O)N1CC(CC#N)(NC(=O)CCC(F)(F)F)C1,GenMol,-189.26176,46.825325
CCS(=O)(=O)N1CC(CC#N)(OC(=O)c2ccccc2Cl)C1,GenMol,-82.90683,-60.8906
CCS(=O)(=O)N1CC(CC#N)(NC(=O)CCC(C)(F)F)C1,GenMol,-185.2115,1.0358869
CCS(=O)(=O)N1CC(CC#N)(OC(=O)c2ncccc2Cl)C1,GenMol,-46.31101,193.89676
CCS(=O)(=O)N1CC(CC#N)(OC(=O)c2ccccc2Br)C1,GenMol,-115.30227,-107.85255
CCS(=O)(=O)N1CC(CC#N)(OC(=O)c2ccccc2Br)C1,GenMol,-115.30227,-107.85255
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC(F)(F)F)C1,GenMol,-93.71129,9.785553
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC(F)(F)F)C1,GenMol,-93.71129,9.785553
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC(F)(F)F)C1,GenMol,-93.71129,9.785553
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC(F)(F)F)C1,GenMol,-93.71129,9.785553
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC(F)(F)F)C1,GenMol,-93.71129,9.785553
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC(F)(F)F)C1,GenMol,-93.71129,9.785553
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC(F)(F)F)C1,GenMol,-93.71129,9.785553
CCS(=O)(=O)N1CC(CC#N)(C(=O)C(=O)N2CCCCC2)C1,GenMol,-50.292942,-136.03165
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC(C)(F)F)C1,GenMol,-127.37896,62.89829
CCS(=O)(=O)N1CC(CC#N)(OC(=O)C2CCCCCC2)C1,GenMol,1.701138,-178.9191
Cc1c2c#c[nH]cc-2c(C)c1N1CCN(S(=O)(=O)NC(C)C)CC1,MolMin,-241.09798,-230.81076
