smiles,tool,UMAP1,UMAP2
CCS(=O)(=O)N1CC(C1)(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,input,9.199294,24.508535
CCS(=O)(=O)N1CC(CC#N)(c2ccc(C(F)(F)F)cc2)C1,GenMol,10.881577,24.009945
CCS(=O)(=O)N1CC(CC#N)(c2cccc(C(F)(F)F)c2)C1,GenMol,10.714681,23.817572
CCS(=O)(=O)N1CC(CC#N)(c2ccc(C(F)(F)F)cc2)C1,GenMol,11.079233,23.7651
CCS(=O)(=O)N1CC(CC#N)(c2ccccc2C(F)(F)F)C1,GenMol,10.811292,23.772146
CCS(=O)(=O)N1CC(CC#N)(c2ccc(C(F)(F)F)cc2)C1,GenMol,10.946085,23.54376
CCS(=O)(=O)N1CC(CC#N)(c2ccc(C(F)(F)F)cc2)C1,GenMol,10.531164,23.621847
CCS(=O)(=O)N1CC(CC#N)(c2ccc(C(F)(F)F)cc2)C1,GenMol,10.595932,23.406368
CCS(=O)(=O)N1CC(CC#N)(c2ccc(C(F)(F)F)cc2)C1,GenMol,10.670772,24.255463
CCS(=O)(=O)N1CC(CC#N)(NC(=O)c2ccccc2Br)C1,GenMol,11.461522,26.69573
CCS(=O)(=O)N1CC(CC#N)(OC(=O)c2ccccc2O)C1,GenMol,11.955304,26.149292
CCS(=O)(=O)N1CC(CC#N)(C(=O)Cc2ccc(Cl)s2)C1,GenMol,11.779368,24.694197
CCS(=O)(=O)N1CC(CC#N)(C(=O)Cc2ccc(Cl)s2)C1,GenMol,11.84007,24.639322
CCS(=O)(=O)N1CC(CC#N)(C(=O)Cc2ccc(Cl)s2)C1,GenMol,11.725141,24.858416
CCS(=O)(=O)N1CC(CC#N)(NC(=O)CCC(F)(F)F)C1,GenMol,10.909972,26.814945
CCS(=O)(=O)N1CC(CC#N)(NC(=O)CCC(F)(F)F)C1,GenMol,11.024787,26.88479
CCS(=O)(=O)N1CC(CC#N)(OC(=O)c2ccccc2Cl)C1,GenMol,11.793712,25.99833
CCS(=O)(=O)N1CC(CC#N)(NC(=O)CCC(C)(F)F)C1,GenMol,10.844655,27.010443
CCS(=O)(=O)N1CC(CC#N)(OC(=O)c2ncccc2Cl)C1,GenMol,11.254038,24.501083
CCS(=O)(=O)N1CC(CC#N)(OC(=O)c2ccccc2Br)C1,GenMol,11.715789,26.457748
CCS(=O)(=O)N1CC(CC#N)(OC(=O)c2ccccc2Br)C1,GenMol,11.841304,26.388962
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC(F)(F)F)C1,GenMol,12.501489,24.077585
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC(F)(F)F)C1,GenMol,11.679915,24.016436
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC(F)(F)F)C1,GenMol,10.985702,24.830135
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC(F)(F)F)C1,GenMol,11.190768,24.583513
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC(F)(F)F)C1,GenMol,12.77791,25.079138
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC(F)(F)F)C1,GenMol,12.528306,24.438156
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC(F)(F)F)C1,GenMol,11.819198,23.403982
CCS(=O)(=O)N1CC(CC#N)(C(=O)C(=O)N2CCCCC2)C1,GenMol,12.155979,23.49347
CCS(=O)(=O)N1CC(CC#N)(OC(=O)CCC(C)(F)F)C1,GenMol,11.220939,25.546637
CCS(=O)(=O)N1CC(CC#N)(OC(=O)C2CCCCCC2)C1,GenMol,11.432193,25.205553
Cc1c2c#c[nH]cc-2c(C)c1N1CCN(S(=O)(=O)NC(C)C)CC1,MolMin,11.899708,23.68999
N#Cc1ncoc1Nc1ccc2c(c1)C1=NS(=O)(=O)NC1=CC=C2,MolMin,11.282333,23.324165
CN(C)CCN(C)S(=O)(=O)n1cc(Cl)c2ccc(Cl)c-2c1,MolMin,11.523473,24.229382
CC(C)(C#N)N1CCN(C(=O)C2=CNC3=CC=CSC3=N2)CC1,MolMin,12.769567,23.64832
CC(C)N1CCN(S(=O)(=O)c2ccc3c(c2)C2(CCN(C)CC2)C(=O)N3)CC1,MolMin,12.3942175,24.037045
CC1(C)N(c2ncccn2)CC12CCN(S(C)(=O)=O)CC2,MolMin,12.660954,25.263958
CC(C)n1c(N)c(C#N)c2cc(=O)cccc21,MolMin,11.930758,25.213894
CN(C)S(=O)(=O)N1CCC(N2C=Cc3ccnn3CC2)CC1,MolMin,11.387447,24.3091
C#CCN(C)S(=O)(=O)N1CCn2cc3[nH]c(=O)cc-3cc2C1,MolMin,12.147437,23.84747
CC(C)CN1CC2(CCN(C(=O)C3=CNNC=C3)C2)C1,MolMin,13.118129,24.462889
N#Cc1cnc(N2CCC3(C=Cc4ccccc4S(=O)(=O)N3)CC2)c(Cl)c1,MolMin,11.020159,25.199139
CC(C)N1C(=O)[C@@]2(C)C(=CC=CN2S(=O)(=O)N2CCCC2)N=C1N,MolMin,11.76059,23.936636
CSCCN1N=C2C(=C(C)C(C)(C)C(C)(C)C2(C)C)S1(=O)=O,MolMin,11.900112,24.044878
CS(=O)(=O)N1CCC2(CC1)CN(C(=O)C1=CNN3C=CS[C]13)C2,MolMin,12.926457,24.128153
CC(C)NS(=O)(=O)c1cc(NC2=Nc3cccn3S2(=O)=O)c(Cl)cc1Cl,MolMin,12.509863,23.75844
CC1=C(N)NC(=O)C12CCN(S(=O)(=O)N1CCC(C)(C)CC1)CC2,MolMin,12.513898,24.647741
CS(=O)(=O)N1CCC2(CC1)C(=O)NC=C1C=CC=CN12,MolMin,12.131909,24.228811
C=CCN1C(C)=C(C#N)C2(CCN(S(C)(=O)=O)CC2)C1(C)C,MolMin,12.554036,25.56962
O=S(=O)(O)C1=C2C=C3C=CC=C(C3)N=C2N(S(=O)(=O)N2CCCC2)CC1,MolMin,13.008407,24.598413
CN1C=CN2C=CC3(CCN(S(C)(=O)=O)CC3)C(C#N)=C12,MolMin,11.370778,24.842754
CS(=O)(=O)N1C=C2C(C#N)=CC(Cl)=CN2CC1,MolMin,11.540283,24.989557
C=C(Cl)Cn1c(C2=C(C#N)C(=O)C=C2Cl)nnc1N1CCN(S(N)(=O)=O)CC1,MolMin,11.859827,24.515072
CCNS(=O)(=O)c1cccc(NN=C2C(=O)CC3=CNCC3=C2C#N)c1,MolMin,12.093524,25.48962
CSC(C)(C)Cn1c(C2CCN(S(C)(=O)=O)CC2)nnc1N1CCC2=C(CCC(=O)N2)C1,MolMin,12.211936,24.410849
C#CCN1CCN(C(N)=C2C=C3C(=O)NCC3=C2C#N)CC1,MolMin,12.713524,24.254196
CC1(C)C(N)=C(C#N)C2=NS(=O)(=O)CC=C2N1C(=O)N1CCSCC1,MolMin,12.272987,24.729979
N#CC(=C1CC=CC=C2NC(=O)N=C21)N1CCN(S(N)(=O)=O)CC1,MolMin,12.203976,25.20185
CC(C)(CN1C(=O)C(C#N)=C2C=CC=CC1=CN2)NS(N)(=O)=O,MolMin,12.394929,24.883896
CN1CCN(C2CCN(C(=O)C3=CN4CCS(=O)(=O)N=C4N3)CC2)CC1,MolMin,12.604245,24.802038
CC(C)(C(=O)N1CCN(S(C)(=O)=O)CC1)N1NC(=S)NC2=C(CCCC2)C1=O,MolMin,13.093938,25.126492
CCS(=O)(=O)N1CC(C)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark,8.351364,24.643406
CCS(=O)(=O)N1CCC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)CC1,MolSpark,9.10271,25.07924
CCS(=O)(=O)N1CC(F)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark,9.313488,24.19275
CCCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark,9.002573,25.061676
CC(C)(C)S(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark,9.015987,24.631386
CCS(=O)(=O)N1CC(n2cc(-c3ncnc4[nH]ccc34)cn2)(C(F)(F)F)C1,MolSpark,9.528492,24.63768
CCS(=O)(=O)N1CC(CC(F)(F)F)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark,9.62255,24.762388
CS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark,8.5897875,24.142586
CCS(=O)(=O)N1CC(n2cc(-c3ncnc4[nH]ccc34)cn2)(S(C)(=O)=O)C1,MolSpark,8.939099,23.942085
CN(C)S(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark,8.57029,24.38558
CCS(=O)(=O)N1CCC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark,9.156594,25.580446
CCS(=O)(=O)N1CC(Cn2ccnc2)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark,9.886061,23.935135
CCCS(=O)(=O)N1CC(C)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark,8.4360695,25.103357
CCS(=O)(=O)N1CCC(C)(n2cc(-c3ncnc4[nH]ccc34)cn2)CC1,MolSpark,8.537753,24.964907
CC(C)CS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark,9.067621,24.880554
CCS(=O)(=O)N1CC(C#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark,9.980779,24.495749
CCS(=O)(=O)N1CC(CC(N)=O)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark,9.423695,23.699154
CCS(=O)(=O)N1CCC(C)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark,8.264282,24.760872
CCS(=O)(=O)N1CC(CCN(C)C)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark,9.460879,23.960402
CCC(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark,9.79946,24.883968
CCCS(=O)(=O)N1CCC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)CC1,MolSpark,8.788419,25.344662
CCS(=O)(=O)N1CC(CN2CCCC2)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark,9.400822,24.612558
CC(C)(C)CS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark,8.775501,24.78054
CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(S(C)(=O)=O)C1,MolSpark,8.764688,24.379854
CCS(=O)(=O)N1CC(CN(C)C)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark,9.015089,24.093737
CCS(=O)(=O)N1CC(CN)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark,9.139595,24.178108
CCS(=O)(=O)N1CC(CF)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark,9.613029,24.33667
CCN(CC)S(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark,9.476435,25.144255
CCS(=O)(=O)N1CC(CO)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark,9.013912,23.752348
CCS(=O)(=O)N1CC(F)(F)C(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,MolSpark,9.564291,25.363455
