smiles,tool
CC(C)NC1=NC2=CC(=C(C=C2N1[C@@H]3[C@H]([C@H]([C@@H](O3)CO)O)O)Cl)Cl,input
O=C(Cc1ccc(Cl)cc1)OC1OC(CO)C(O)C1O,GenMol
O=C(Cc1ccc(Cl)cc1)OC1OC(CO)C(O)C1O,GenMol
O=C(Cc1ccc(Cl)cc1)OC1OC(CO)C(O)C1O,GenMol
O=C(Cc1ccc(Cl)cc1)OC1OC(CO)C(O)C1O,GenMol
O=C(Cc1ccc(Cl)cc1)OC1OC(CO)C(O)C1O,GenMol
O=C(Cc1ccc(Cl)cc1)OC1OC(CO)C(O)C1O,GenMol
O=C(Cc1ccc(Cl)cc1)OC1OC(CO)C(O)C1O,GenMol
O=C(Cc1ccc(Br)cc1)OC1OC(CO)C(O)C1O,GenMol
O=C(Cc1ccc(F)cc1)OC1OC(CO)C(O)C1O,GenMol
O=C(Cc1ccc(F)cc1)OC1OC(CO)C(O)C1O,GenMol
O=C(Cc1ccc(O)cc1)OC1OC(CO)C(O)C1O,GenMol
O=C(Cc1ccc(O)cc1)OC1OC(CO)C(O)C1O,GenMol
O=C(Cc1ccc(O)cc1)OC1OC(CO)C(O)C1O,GenMol
O=C(Cc1ccc(O)cc1)OC1OC(CO)C(O)C1O,GenMol
O=C(Cc1ccc(O)cc1)OC1OC(CO)C(O)C1O,GenMol
O=C(Cc1ccc(O)cc1)OC1OC(CO)C(O)C1O,GenMol
O=C(CCN1CCCOC1=O)OC1OC(CO)C(O)C1O,GenMol
O=C(Cc1ccc(I)cc1)OC1OC(CO)C(O)C1O,GenMol
CC(=O)OCCC(=O)OC1OC(CO)C(O)C1O,GenMol
CC(=O)OCCC(=O)OC1OC(CO)C(O)C1O,GenMol
CC(=O)OCCC(=O)OC1OC(CO)C(O)C1O,GenMol
O=C(Cc1ccc(S)cc1)OC1OC(CO)C(O)C1O,GenMol
NC(=O)OCCC(=O)OC1OC(CO)C(O)C1O,GenMol
NS(=O)(=O)OCC(=O)OC1OC(CO)C(O)C1O,GenMol
NS(=O)(=O)OCC(=O)OC1OC(CO)C(O)C1O,GenMol
CS(=O)(=O)CCCCCC(=O)OC1OC(CO)C(O)C1O,GenMol
CS(=O)(=O)OCC(=O)OC1OC(CO)C(O)C1O,GenMol
CS(=O)(=O)OCC(=O)OC1OC(CO)C(O)C1O,GenMol
O=C(O)CCCCCCCCCC(=O)OC1OC(CO)C(O)C1O,GenMol
O=C(O)CCCCCCCCCC(=O)OC1OC(CO)C(O)C1O,GenMol
C[C@H](O)[C@@H](C)N(C)C(=O)c1cnc2n(c1=O)CCc1ccccc1-2,MolMin
Cc1nc2cccc(Cl)c2n1[C@H]1CC=C(N(C)[C@H](C)[C@H](C)O)CC1,MolMin
CC1=C(C(C)(C)[C@H](C)O)[C@@H](C)NC(=O)N1c1ccccc1Cl,MolMin
C[C@@H](O)C1C[C@@H]2CC[C@@H](C1)N2C(=O)c1cc(-c2ccc(Cl)cc2)n[nH]1,MolMin
C[C@H](O)[C@@H]1OCCN2C(=O)c3c(c4ccccc4n(CC(F)F)c3=O)C[C@H]12,MolMin
O[C@@H]1CC[C@@H]2[C@H]1CCCCN2Cc1cc[nH]c1Cl,MolMin
C[C@@H](C(=O)O)N(C(=O)OC(C)(C)C)C1=Nc2ccccc2N2CCCC[C@@H]12,MolMin
CN(C(=O)c1cc2cc(Cl)ccc2nn1)C1=CCCC1,MolMin
C[C@H](O)[C@H](C)OC(=O)C1=CC=Nc2c(ncc(Cl)c2C#N)N1C,MolMin
