smiles,tool,tSNE1,tSNE2
CC(C)NC1=NC2=CC(=C(C=C2N1[C@@H]3[C@H]([C@H]([C@@H](O3)CO)O)O)Cl)Cl,input,50.153625,128.72528
O=C(Cc1ccc(Cl)cc1)OC1OC(CO)C(O)C1O,GenMol,-110.40685,-42.285915
O=C(Cc1ccc(Cl)cc1)OC1OC(CO)C(O)C1O,GenMol,-110.40685,-42.285915
O=C(Cc1ccc(Cl)cc1)OC1OC(CO)C(O)C1O,GenMol,-110.40685,-42.285915
O=C(Cc1ccc(Cl)cc1)OC1OC(CO)C(O)C1O,GenMol,-110.40685,-42.285915
O=C(Cc1ccc(Cl)cc1)OC1OC(CO)C(O)C1O,GenMol,-110.40685,-42.285915
O=C(Cc1ccc(Cl)cc1)OC1OC(CO)C(O)C1O,GenMol,-110.40685,-42.285915
O=C(Cc1ccc(Cl)cc1)OC1OC(CO)C(O)C1O,GenMol,-110.40685,-42.285915
O=C(Cc1ccc(Br)cc1)OC1OC(CO)C(O)C1O,GenMol,-208.21486,-26.597637
O=C(Cc1ccc(F)cc1)OC1OC(CO)C(O)C1O,GenMol,-83.08122,-147.78828
O=C(Cc1ccc(F)cc1)OC1OC(CO)C(O)C1O,GenMol,-83.08122,-147.78828
O=C(Cc1ccc(O)cc1)OC1OC(CO)C(O)C1O,GenMol,-15.671029,-71.913445
O=C(Cc1ccc(O)cc1)OC1OC(CO)C(O)C1O,GenMol,-15.671029,-71.913445
O=C(Cc1ccc(O)cc1)OC1OC(CO)C(O)C1O,GenMol,-15.671029,-71.913445
O=C(Cc1ccc(O)cc1)OC1OC(CO)C(O)C1O,GenMol,-15.671029,-71.913445
O=C(Cc1ccc(O)cc1)OC1OC(CO)C(O)C1O,GenMol,-15.671029,-71.913445
O=C(Cc1ccc(O)cc1)OC1OC(CO)C(O)C1O,GenMol,-15.671029,-71.913445
O=C(CCN1CCCOC1=O)OC1OC(CO)C(O)C1O,GenMol,-237.81099,-197.05048
O=C(Cc1ccc(I)cc1)OC1OC(CO)C(O)C1O,GenMol,-95.904,49.37961
CC(=O)OCCC(=O)OC1OC(CO)C(O)C1O,GenMol,98.133484,-93.8827
CC(=O)OCCC(=O)OC1OC(CO)C(O)C1O,GenMol,98.133484,-93.8827
CC(=O)OCCC(=O)OC1OC(CO)C(O)C1O,GenMol,98.133484,-93.8827
O=C(Cc1ccc(S)cc1)OC1OC(CO)C(O)C1O,GenMol,-166.8252,44.34262
NC(=O)OCCC(=O)OC1OC(CO)C(O)C1O,GenMol,123.12187,-173.12097
NS(=O)(=O)OCC(=O)OC1OC(CO)C(O)C1O,GenMol,-18.381042,-231.41183
NS(=O)(=O)OCC(=O)OC1OC(CO)C(O)C1O,GenMol,-18.381042,-231.41183
CS(=O)(=O)CCCCCC(=O)OC1OC(CO)C(O)C1O,GenMol,286.7576,-121.238464
CS(=O)(=O)OCC(=O)OC1OC(CO)C(O)C1O,GenMol,35.95228,-176.42056
CS(=O)(=O)OCC(=O)OC1OC(CO)C(O)C1O,GenMol,35.95228,-176.42056
O=C(O)CCCCCCCCCC(=O)OC1OC(CO)C(O)C1O,GenMol,206.88622,-92.658005
O=C(O)CCCCCCCCCC(=O)OC1OC(CO)C(O)C1O,GenMol,206.88622,-92.658005
C[C@H](O)[C@@H](C)N(C)C(=O)c1cnc2n(c1=O)CCc1ccccc1-2,MolMin,-322.34976,109.67645
Cc1nc2cccc(Cl)c2n1[C@H]1CC=C(N(C)[C@H](C)[C@H](C)O)CC1,MolMin,-408.21667,45.735603
CC1=C(C(C)(C)[C@H](C)O)[C@@H](C)NC(=O)N1c1ccccc1Cl,MolMin,-115.904305,374.13013
C[C@@H](O)C1C[C@@H]2CC[C@@H](C1)N2C(=O)c1cc(-c2ccc(Cl)cc2)n[nH]1,MolMin,-301.72076,-105.009926
C[C@H](O)[C@@H]1OCCN2C(=O)c3c(c4ccccc4n(CC(F)F)c3=O)C[C@H]12,MolMin,-249.3364,306.0969
O[C@@H]1CC[C@@H]2[C@H]1CCCCN2Cc1cc[nH]c1Cl,MolMin,85.58759,-280.21796
C[C@@H](C(=O)O)N(C(=O)OC(C)(C)C)C1=Nc2ccccc2N2CCCC[C@@H]12,MolMin,72.95671,-392.47318
CN(C(=O)c1cc2cc(Cl)ccc2nn1)C1=CCCC1,MolMin,180.86568,-335.74527
C[C@H](O)[C@H](C)OC(=O)C1=CC=Nc2c(ncc(Cl)c2C#N)N1C,MolMin,-212.70715,115.493355
C[C@H](O)[C@H](C)N1C(=N)N2C(=CC=C(Cl)Cl)CC[C@@H]2C1=O,MolMin,-310.87827,208.50809
C[C@@H](C(=O)O)N(C)C(=O)C1=C2CCO[C@H]2[C@@H]2C(Cl)=CN(C)C2=N1,MolMin,-198.87596,195.77275
O=C([C@@H]1C=Cc2ccccc2N=N1)N1CCCC[C@H]1[C@H](O)C(F)(F)Cl,MolMin,1.9741687,420.81924
O=C(c1nn(CC(Cl)Cl)c(=O)c2ccccc12)N1CCC[C@H]2[C@H](O)C[C@H]21,MolMin,-169.0161,-144.28691
C[C@H]1C(=C2C=CN(Cc3ccccc3)C=N2)CC[C@@H](N(C)C(=O)OC(C)(C)C)[C@H]1O,MolMin,-224.20049,-97.17556
C[C@H](CN(C)C(=O)[C@@H]1CC2=C(CCN(C(=O)OC(C)(C)C)C2)N=N1)C(=O)O,MolMin,326.61676,299.3848
C[C@@H](O)[C@H](O)CN(C)C(=O)[C@@H]1CCCCN1C(=O)c1cc2ccccc2nn1,MolMin,-402.03,-70.95506
C[C@@H](O)[C@H](C(=O)N1CCC2=C(C1)Nc1ccccc1N=N2)N(C)C(=O)OC(C)(C)C,MolMin,-362.12585,-185.50122
Cc1cc(C(=O)N[C@@H](C)[C@H](C)O)cc(Nc2ccc(Cl)cc2)n1,MolMin,-206.83592,-300.34366
COC[C@H](O)CN1CC[C@H]2[C@H]1CCCN2C(=O)C=C(Cl)Cl,MolMin,-145.09662,274.83575
CC(C)(C)OC(=O)N1CCC2(CCC(C(=O)O)=NN2)CC1,MolMin,-20.246643,-349.3543
CC(C)(C)OC(=O)N1CCC2=C(CCNC(C(N)=O)=N2)C1,MolMin,-97.74338,-292.04697
C[C@H](O)[C@H](C)N(C)C(=O)c1ccc2nc3ccccc3c(=O)n2c1,MolMin,-144.60179,-222.18115
