smiles,tool
CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CC3(C[C@H]2C(=O)O)SCCS3,input
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol
O=C(O)C1CC2(CN1c1ccccc1-c1ccccc1)SCCS2,GenMol
O=C(O)C1CC2(CN1C(=O)c1ccc(-n3cccn3)cc1)SCCS2,GenMol
O=C(O)C1CC2(CN1c1ccc(O)cc1)SCCS2,GenMol
O=C(O)C1CC2(CN1c1ccc(O)cc1)SCCS2,GenMol
O=C(O)C1CC2(CN1c1ccccc1C(=O)N1CCCC1)SCCS2,GenMol
O=C(O)C1CC2(CN1C(=O)CSc1ccccc1)SCCS2,GenMol
Nc1ccc(N2CC3(CC2C(=O)O)SCCS3)cc1,GenMol
O=C(O)C1CC2(CN1c1ccc(C(=O)N3CCOCC3)[nH]1)SCCS2,GenMol
C=CC(=O)N1CC2(CC1C(=O)O)SCCS2,GenMol
O=C(O)C1CC2(CN1c1ccc(Nc3ccccc3)cc1Cl)SCCS2,GenMol
O=C(O)C1CC2(CN1C(=O)N1CCNCC1)SCCS2,GenMol
O=C(O)C1CC2(CN1c1ccccc1[N+](=O)[O-])SCCS2,GenMol
O=C(O)C1CC2(CN1)SCCS2,GenMol
O=C(O)C1CC2(CN1)SCCS2,GenMol
O=C(O)C1CC2(CN1)SCCS2,GenMol
NN1CC2(CC1C(=O)O)SCCS2,GenMol
COC1(OC)CCN(C(=O)c2cnc3c(c2)CCC(=O)N3)CC1,MolMin
C[C@H](Cc1ccc2c(c1)CC(=O)N2)C(=O)N1CCC2(CC1)CCS(=O)(=O)CC2,MolMin
CSCC[C@H](NC(=O)c1ccccc1)C(=O)N1CCCCC[C@H]1C(F)(F)F,MolMin
Cc1ncc(C[C@H]2NC(=O)C3(CCN(C(=O)[C@H]4CCC(F)(F)C4)CC3)NC2=O)s1,MolMin
C[C@H](C(=O)N1CCCN2C(=O)SC[C@H]2C1)N1CCn2cnnc2C1,MolMin
CCOC(=O)[C@@H]1CCCCCN1C(=O)[C@@H](Cc1csc(C)n1)NC(C)=O,MolMin
C[C@H](C(=O)N1CCC2(CC1)OCCO2)N1C(=O)c2ccccc2C1=O,MolMin
C[C@H]1CN(C(=O)OC(C)(C)C)CC2(CCN(C(=O)[C@@H]3CCc4nc(N)sc4C3)CC2)O1,MolMin
O=C1CC2(CCN(C(=O)[C@@H]3CSCN3C(=O)C3=Cc4ccccc4CC3)CC2)[C@H](O)CN1,MolMin
Cc1ncc(CC(=O)N2CCCCC23CN(C(=O)[C@@H](C)Cc2ccc4c(c2)OCO4)C3)s1,MolMin
C[C@@H](Cc1cn2c(n1)SCC2)C(=O)N1CCC2(CC1)C[C@H](O)CN2C(=O)Cn1cncn1,MolMin
CSCC[C@H](C(=O)N1CCSCC12CCCCC2)N1C(=O)c2ccccc2C1=O,MolMin
CSCC[C@@H](NC(=O)Cn1cnc2c(c1=O)CCC2)C(=O)N1CCC2(CC1)CC(F)(F)C2,MolMin
C[C@@H]1Oc2ccccc2C=C1C(=O)N1CCC([C@@H]2CCCCN2C(=O)Cc2nnc3n2CCC3)CC1,MolMin
CSCC[C@H](C(=O)N1CCS(=O)(=O)C[C@@H]1C)N1C(=O)NC2(CCCC2)C1=O,MolMin
CSCC[C@H](C(=O)N1CCCCCC1)N1C(=O)c2sc3c(c2C1=O)CC[C@H](C)C3,MolMin
CSCC[C@@H](NC(=O)Cc1ccc(-n2cnnn2)cc1)C(=O)N1CCCC2(CCCCC2)C1,MolMin
O=C(Cc1cnc(C2CC2)s1)N1CCC2(CCCCCN2C(=O)[C@H]2CC=CCC2)CC1,MolMin
CC[C@H](C)[C@H](C(=O)N1CCc2nnn(CCO)c2C1)n1c(=O)sc2ccccc2c1=O,MolMin
