smiles,tool,UMAP1,UMAP2
CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CC3(C[C@H]2C(=O)O)SCCS3,input,-28.386026,30.384937
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,-28.140152,33.318123
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,-28.515486,33.46278
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,-28.624464,32.736763
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,-27.276648,32.412647
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,-27.472624,32.95493
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,-28.937561,32.923653
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,-27.9141,33.020603
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,-28.363712,32.989296
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,-28.57782,31.95735
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,-28.661413,34.083176
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,-28.910872,32.27404
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,-28.209595,32.802616
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,-27.579554,32.01177
O=C(O)C1CC2(CN1c1ccccc1)SCCS2,GenMol,-27.546331,33.87882
O=C(O)C1CC2(CN1c1ccccc1-c1ccccc1)SCCS2,GenMol,-29.292068,32.601307
O=C(O)C1CC2(CN1C(=O)c1ccc(-n3cccn3)cc1)SCCS2,GenMol,-26.948565,33.080006
O=C(O)C1CC2(CN1c1ccc(O)cc1)SCCS2,GenMol,-29.220785,33.732906
O=C(O)C1CC2(CN1c1ccc(O)cc1)SCCS2,GenMol,-29.02832,33.95893
O=C(O)C1CC2(CN1c1ccccc1C(=O)N1CCCC1)SCCS2,GenMol,-29.620546,32.77054
O=C(O)C1CC2(CN1C(=O)CSc1ccccc1)SCCS2,GenMol,-28.48231,33.869785
Nc1ccc(N2CC3(CC2C(=O)O)SCCS3)cc1,GenMol,-28.239252,32.359364
O=C(O)C1CC2(CN1c1ccc(C(=O)N3CCOCC3)[nH]1)SCCS2,GenMol,-29.408081,33.1308
C=CC(=O)N1CC2(CC1C(=O)O)SCCS2,GenMol,-27.777063,32.959057
O=C(O)C1CC2(CN1c1ccc(Nc3ccccc3)cc1Cl)SCCS2,GenMol,-27.863487,32.06701
O=C(O)C1CC2(CN1C(=O)N1CCNCC1)SCCS2,GenMol,-28.446135,33.788246
O=C(O)C1CC2(CN1c1ccccc1[N+](=O)[O-])SCCS2,GenMol,-27.074635,32.66455
O=C(O)C1CC2(CN1)SCCS2,GenMol,-28.865055,33.55082
O=C(O)C1CC2(CN1)SCCS2,GenMol,-28.95892,33.273354
O=C(O)C1CC2(CN1)SCCS2,GenMol,-29.075022,33.380695
NN1CC2(CC1C(=O)O)SCCS2,GenMol,-27.473524,32.452442
COC1(OC)CCN(C(=O)c2cnc3c(c2)CCC(=O)N3)CC1,MolMin,-27.801613,32.5356
C[C@H](Cc1ccc2c(c1)CC(=O)N2)C(=O)N1CCC2(CC1)CCS(=O)(=O)CC2,MolMin,-29.442589,31.58251
CSCC[C@H](NC(=O)c1ccccc1)C(=O)N1CCCCC[C@H]1C(F)(F)F,MolMin,-28.56349,33.215702
